SMILES,Core,Arm,Target_PG,Point_Group,Geometry,Energy_kcal_mol,XYZ_Path,Source,Plane_RMSD,Plane_MaxDist
O=Cc1ccc(-c2ccc(-c3ccc(/N=N/c4ccc(-c5ccc(-c6ccc(C=O)cc6)cc5)cc4)cc3)cc2)cc1,azobenzene_C2,CHO_phph,C2,D2,nonplanar,158.9620089849289,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000006.xyz,original_augmented,0.9831967392369504,2.3142703845449817
NC(=O)c1ccc(/N=N/c2ccc(C(N)=O)cc2)cc1,azobenzene_C2,CONH2_direct,C2,D2,nonplanar,15.322607064826537,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_000033.xyz,original_augmented,0.7761576233278263,1.3588530430882892
[N-]=[N+]=Nc1ccc(-c2ccc(/N=N/c3ccc(-c4ccc(N=[N+]=[N-])cc4)cc3)cc2)cc1,azobenzene_C2,N3_ph,C2,D2,nonplanar,69.26263214192974,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_000895.xyz,original_augmented,0.8764599384621601,2.109251344205168
Sc1ccc(/N=N/c2ccc(S)cc2)cc1,azobenzene_C2,SH_direct,C2,C2,nonplanar,31.104968534848,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_000498.xyz,original_augmented,0.7143060082310025,1.3563327528167173
O=Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C=O)cc6)cc5)cc4)cc3)cc2)cc1,biphenyl_C2,CHO_phph,C2,D2,nonplanar,158.57793637200206,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_001770_s0883.xyz,original_augmented,0.9831898170741771,1.9745333227912738
Nc1ccc(OC(=O)c2ccc(-c3ccc(C(=O)Oc4ccc(N)cc4)cc3)cc2)cc1,biphenyl_ester_C2,NH2_ph,C2,D2,nonplanar,113.3734529910176,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_000214.xyz,original_augmented,0.978274860009464,2.3678946328644677
O=C(OP(=O)(O)O)c1ccc(-c2ccc(C(=O)OP(=O)(O)O)cc2)cc1,biphenyl_ester_C2,PO3H2_direct,C2,C2,nonplanar,-331.11815080206,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_000746.xyz,original_augmented,0.7954918782550385,1.3456517779442623
C#Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C#C)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,CCH_phph,C2,D2,nonplanar,157.78663638540607,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_003142_s1009.xyz,original_augmented,0.6873721124546799,1.7059791918297136
FC(F)(F)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(F)(F)F)cc4)cn3)nc2)cc1,bipyridine_C2,CF3_ph,C2,D2,nonplanar,167.94023186672547,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_000308.xyz,original_augmented,0.8714484047815113,1.7024282308585588
O=C(O)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C(=O)O)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,COOH_phph,C2,D2,nonplanar,148.88034241152866,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000048.xyz,original_augmented,0.9742448803493683,2.258173835218611
