SMILES,Core,Arm,Target_PG,Point_Group,Geometry,Energy_kcal_mol,XYZ_Path,Source,Plane_RMSD,Plane_MaxDist
O=C(O)c1ccc(-c2ccc(C#Cc3ccc4cc5cc(C#Cc6ccc(-c7ccc(C(=O)O)cc7)cc6)ccc5cc4c3)cc2)cc1,bis_ethynyl_anthracene_C2,COOH_phph,C2,D2,nonplanar,103.7184592847943,,original_augmented,,
O=P(O)(O)C#Cc1ccc2cc3cc(C#CP(=O)(O)O)ccc3cc2c1,bis_ethynyl_anthracene_C2,PO3H2_direct,C2,C2,mixed,-216.26263004808885,,original_augmented,,
N#CNC#Cc1ccc2cc(C#CNC#N)ccc2c1,bis_ethynyl_naphthalene_C2,NHCN_direct,C2,C2,mixed,-21.20443680317837,,original_augmented,,
Oc1ccc(-c2ccc(C#Cc3ccc4cc(C#Cc5ccc(-c6ccc(O)cc6)cc5)ccc4c3)cc2)cc1,bis_ethynyl_naphthalene_C2,OH_phph,C2,D2,nonplanar,79.05059968826902,,original_augmented,,
COC(=O)C#Cc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(C#CC(=O)OC)cc3)cc2)cc1,bis_phenyl_ester_C2,CCCOOMe_direct,C2,D2,nonplanar,92.87232906095146,,original_augmented,,
[N-]=[N+]=Nc1ccc(-c2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(-c5ccc(N=[N+]=[N-])cc5)cc4)cc3)cc2)cc1,bis_phenyl_ester_C2,N3_ph,C2,D2,nonplanar,142.1910278344674,,original_augmented,,
CC(=O)Nc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(NC(C)=O)cc3)cc2)cc1,bis_phenyl_ester_C2,NHacetyl_direct,C2,D2,nonplanar,76.54049539030952,,original_augmented,,
O=C(Oc1ccc(OC(=O)c2ccc(P(=O)(O)O)cc2)cc1)c1ccc(P(=O)(O)O)cc1,bis_phenyl_ester_C2,PO3H2_direct,C2,D2,nonplanar,-109.77393660489716,,original_augmented,,
Cc1ccc(-c2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(-c5ccc(C)cc5)cc4)cc3)cc2)cc1,bis_phenyl_ester_C2,methyl_ph,C2,D2,nonplanar,161.46314789947425,,original_augmented,,
C[Si](C)(C)c1ccc(C#Cc2ccc(C#Cc3ccc([Si](C)(C)C)cc3)cc2)cc1,bis_phenylethynyl_benzene_C2,SiMe3_direct,C2,D2,nonplanar,61.16487275388752,,original_augmented,,
O=C=NC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CN=C=O)cc3)s2)cc1,bis_phenylethynyl_thiophene_C2,CCNCO_direct,C2,C2,mixed,26.04613035453993,,original_augmented,,
OC#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#CO)cc3)s2)cc1,bis_phenylethynyl_thiophene_C2,CCOH_direct,C2,C2,mixed,29.95861825683972,,original_augmented,,
Sc1ccc(C#Cc2ccc(C#Cc3ccc(S)cc3)s2)cc1,bis_phenylethynyl_thiophene_C2,SH_direct,C2,C2,mixed,27.1917062323421,,original_augmented,,
