SMILES,Core,Arm,Target_PG,Point_Group,Geometry,Energy_kcal_mol,XYZ_Path,Source,Plane_RMSD,Plane_MaxDist
COC(=O)C1=CC(C(=O)OC)=CC(C(=O)OC)=CC(C(=O)OC)=C1,cyclooctatetraene_C4,COOMe_direct,C4,S4,nonplanar,63.95193263073875,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000244.xyz,original_augmented,2.3607746904567875,4.061719967558029
O=S(=O)(Cl)c1ccc(-c2c(-c3ccc(S(=O)(=O)Cl)cc3)c(-c3ccc(S(=O)(=O)Cl)cc3)c(-c3ccc(S(=O)(=O)Cl)cc3)c(-c3ccc(S(=O)(=O)Cl)cc3)c2-c2ccc(S(=O)(=O)Cl)cc2)cc1,hexaphenylbenzene_H6,SO2Cl_direct,D6h,C6h,nonplanar,369.4189103508805,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_001800.xyz,original_augmented,1.3603916525589124,2.1730617422058747
COc1ccc(C2=C3C=CC(=N3)C(c3ccc(OC)cc3)=C3C=CC(=N3)C(c3ccc(OC)cc3)=C3C=CC(=N3)C(c3ccc(OC)cc3)=C3C=CC2=N3)cc1,porphyrin_C4,OMe_direct,C4,S4,nonplanar,218.56163975376364,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000464.xyz,original_augmented,3.132483552674445,6.064199210156419
O=S(=O)(Cl)c1ccc(C2=C3C=CC(=N3)C(c3ccc(S(=O)(=O)Cl)cc3)=C3C=CC(=N3)C(c3ccc(S(=O)(=O)Cl)cc3)=C3C=CC(=N3)C(c3ccc(S(=O)(=O)Cl)cc3)=C3C=CC2=N3)cc1,porphyrin_C4,SO2Cl_direct,C4,S4,nonplanar,333.88961670868605,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/mol_001561.xyz,original_augmented,1.3279444407254282,2.984639695610335
BrC1=CC(Br)=CC(Br)=CC(Br)=C1,cyclooctatetraene_C4,Br_direct,C4,S4,nonplanar,17.938068744581027,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000728.xyz,original_remaining,0.9320289346336654,1.4676169834332695
FC(F)(F)C#CC1=CC(C#CC(F)(F)F)=CC(C#CC(F)(F)F)=CC(C#CC(F)(F)F)=C1,cyclooctatetraene_C4,CCCF3_direct,C4,S4,nonplanar,42.78838571798185,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000729.xyz,original_remaining,2.181811561697314,3.8170415105002924
O=CC#CC1=CC(C#CC=O)=CC(C#CC=O)=CC(C#CC=O)=C1,cyclooctatetraene_C4,CCCHO_direct,C4,S4,nonplanar,31.50294270824748,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000730.xyz,original_remaining,2.0086648580417474,3.096412830223506
N#CC#CC1=CC(C#CC#N)=CC(C#CC#N)=CC(C#CC#N)=C1,cyclooctatetraene_C4,CCCN_direct,C4,S4,nonplanar,34.95280446689249,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000731.xyz,original_remaining,1.9442669887857702,3.4708140197267747
C#Cc1ccc(C2=CC(c3ccc(C#C)cc3)=CC(c3ccc(C#C)cc3)=CC(c3ccc(C#C)cc3)=C2)cc1,cyclooctatetraene_C4,CCH_ph,C4,S4,nonplanar,120.20671364303594,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000732.xyz,original_remaining,2.8063770373112247,5.2924561963649355
NC#CC1=CC(C#CN)=CC(C#CN)=CC(C#CN)=C1,cyclooctatetraene_C4,CCNH2_direct,C4,S4,nonplanar,9.230063882496523,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000733.xyz,original_remaining,2.028776746045779,3.6851108277382547
O=[N+]([O-])C#CC1=CC(C#C[N+](=O)[O-])=CC(C#C[N+](=O)[O-])=CC(C#C[N+](=O)[O-])=C1,cyclooctatetraene_C4,CCNO2_direct,C4,S4,nonplanar,44.61163402629475,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000734.xyz,original_remaining,2.054384566449559,3.5909825721971758
OC#CC1=CC(C#CO)=CC(C#CO)=CC(C#CO)=C1,cyclooctatetraene_C4,CCOH_direct,C4,S4,nonplanar,18.24469997320341,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000735.xyz,original_remaining,1.8194623926756508,3.1152482439499973
FC(F)(F)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,cyclooctatetraene_C4,CF3_direct,C4,S4,nonplanar,140.0524032662369,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000736.xyz,original_remaining,1.3340956477335808,2.205559516481849
O=CC1=CC(C=O)=CC(C=O)=CC(C=O)=C1,cyclooctatetraene_C4,CHO_direct,C4,S4,nonplanar,75.47759720777273,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000737.xyz,original_remaining,1.1012917427173834,1.740534793855947
N#CC1=CC(C#N)=CC(C#N)=CC(C#N)=C1,cyclooctatetraene_C4,CN_direct,C4,S4,nonplanar,71.82149784070785,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000738.xyz,original_remaining,1.1367978610461447,1.8995539102170247
N#Cc1ccc(C2=CC(c3ccc(C#N)cc3)=CC(c3ccc(C#N)cc3)=CC(c3ccc(C#N)cc3)=C2)cc1,cyclooctatetraene_C4,CN_ph,C4,S4,nonplanar,176.5205437961249,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000739.xyz,original_remaining,2.5631139927291993,4.601117475487591
O=C(O)c1ccc(C2=CC(c3ccc(C(=O)O)cc3)=CC(c3ccc(C(=O)O)cc3)=CC(c3ccc(C(=O)O)cc3)=C2)cc1,cyclooctatetraene_C4,COOH_ph,C4,S4,nonplanar,102.65604652168616,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000742.xyz,original_remaining,2.9411994312182657,5.505750398152583
ClC1=CC(Cl)=CC(Cl)=CC(Cl)=C1,cyclooctatetraene_C4,Cl_direct,C4,S4,nonplanar,11.581139574044762,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000743.xyz,original_remaining,0.8672357462860566,1.3338003619796077
Clc1ccc(C2=CC(c3ccc(Cl)cc3)=CC(c3ccc(Cl)cc3)=CC(c3ccc(Cl)cc3)=C2)cc1,cyclooctatetraene_C4,Cl_ph,C4,S4,nonplanar,116.11433337095067,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000744.xyz,original_remaining,2.37118354499039,4.260830896732416
IC1=CC(I)=CC(I)=CC(I)=C1,cyclooctatetraene_C4,I_direct,C4,S4,nonplanar,23.62954095303032,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000745.xyz,original_remaining,1.007861018111727,1.6416552467558625
[N-]=[N+]=NC1=CC(N=[N+]=[N-])=CC(N=[N+]=[N-])=CC(N=[N+]=[N-])=C1,cyclooctatetraene_C4,N3_direct,C4,S4,nonplanar,2.803770726173952,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000746.xyz,original_remaining,1.6699247174157348,2.5439579990804644
Nc1ccc(C2=CC(c3ccc(N)cc3)=CC(c3ccc(N)cc3)=CC(c3ccc(N)cc3)=C2)cc1,cyclooctatetraene_C4,NH2_ph,C4,S4,nonplanar,81.68636293595318,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000749.xyz,original_remaining,2.6470522088822857,4.775460956872437
O=CNC1=CC(NC=O)=CC(NC=O)=CC(NC=O)=C1,cyclooctatetraene_C4,NHCHO_direct,C4,S4,nonplanar,-46.36213788226253,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000750.xyz,original_remaining,1.296638219696705,2.1332881768298324
O=[N+]([O-])C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,cyclooctatetraene_C4,NO2_direct,C4,S4,nonplanar,102.72789248698814,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000752.xyz,original_remaining,1.184026637962761,2.0109361123333063
O=[N+]([O-])c1ccc(C2=CC(c3ccc([N+](=O)[O-])cc3)=CC(c3ccc([N+](=O)[O-])cc3)=CC(c3ccc([N+](=O)[O-])cc3)=C2)cc1,cyclooctatetraene_C4,NO2_ph,C4,S4,nonplanar,256.8036455085356,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000753.xyz,original_remaining,2.7026686358770937,4.979243460462187
COC1=CC(OC)=CC(OC)=CC(OC)=C1,cyclooctatetraene_C4,OMe_direct,C4,S4,nonplanar,38.529404013968495,/home/tianyajun/MARL_for_COFs/cof_symmetry_pipeline/output/xyz/aug_000757.xyz,original_remaining,1.8288952369458347,2.8455925566425955
