cifname,预测吸附,Pore_diameters
T3_301_NH2_Br_H_H-L2_201_CHO_H_H-HCB_A-AA,3.271484375,22.24812
T3_301_NH2_Br_H_H-L2_202_CHO_H_H-HCB_A-AA,3.962890625,15.69348
T3_301_NH2_Br_H_H-L2_203_CHO_H_H-HCB_A-AA,4.4375,22.21663
T3_301_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,3.98828125,9.20620
T3_301_NH2_Br_H_H-L2_205_CHO_H_H-HCB_A-AA,4.359375,18.22096
T3_301_NH2_Br_H_H-L2_206_CHO_H_H-HCB_A-AA,2.79296875,18.47056
T3_301_NH2_Br_H_H-L2_207_CHO_H_H-HCB_A-AA,2.5234375,22.21663
T3_301_NH2_Br_H_H-L2_208_CHO_H_H-HCB_A-AA,4.15625,22.21663
T3_301_NH2_Br_H_H-L2_209_CHO_H_H-HCB_A-AA,3.71875,20.56711
T3_301_NH2_Br_H_H-L2_210_CHO_H_H-HCB_A-AA,4.3984375,15.26686
T3_301_NH2_Br_H_H-L2_211_CHO_H_H-HCB_A-AA,4.65234375,11.90783
T3_301_NH2_Br_H_H-L2_212_CHO_H_H-HCB_A-AA,4.37109375,20.64158
T3_301_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,3.974609375,19.08362
T3_301_NH2_Br_H_H-L2_214_CHO_H_H-HCB_A-AA,3.154296875,15.25749
T3_301_NH2_Br_H_H-L2_215_CHO_H_H-HCB_A-AA,3.255859375,15.25529
T3_301_NH2_Br_H_H-L2_216_CHO_H_H-HCB_A-AA,4.58984375,15.26686
T3_301_NH2_Br_H_H-L2_217_CHO_H_H-HCB_A-AA,4.03515625,20.82472
T3_301_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,4.28515625,22.52810
T3_301_NH2_CH3_H_H-L2_202_CHO_H_H-HCB_A-AA,3.80859375,16.16938
T3_301_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,3.921875,22.49697
