cifname,GCMC吸附,误差
T3_301_NH2_EPO_H_H-L2_216_CHO_H_H-HCB_A-AA,1.618,0.1030864526
T3_301_NH2_EPO_H_H-L2_204_CHO-HCB_A-AA,1.102,0.0793227124
T3_301_NH2_SH_H_H-L2_208_CHO_H_H-HCB_A-AA,1.754,0.0971004961
T3_301_NH2_NO2_H_H-L2_201_CHO_H_H-HCB_A-AA,2.013,0.1629703519
T3_301_NH2_Cl_H_H-L2_207_CHO_H_H-HCB_A-AA,1.607,0.1331756887
T3_301_NH2_CHS_H_H-L2_212_CHO_H_H-HCB_A-AA,2.271,0.2050015386
T3_301_NH2_CH3_H_H-L2_209_CHO_H_H-HCB_A-AA,3.187,0.4035620443
T3_301_NH2_CHS_H_H-L2_204_CHO-HCB_A-AA,0.814,0.064568113
T3_301_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,1.462,0.0785907123
T3_301_NH2_H_H_H-L2_206_CHO_H_H-HCB_A-AA,1.619,0.1815788369
T3_301_NH2_Br_H_H-L2_216_CHO_H_H-HCB_A-AA,1.057,0.0509227672
T3_301_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,2.745,0.2875539401
T3_301_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,1.646,0.2615708004
T3_301_NH2_SH_H_H-L2_209_CHO_H_H-HCB_A-AA,2.117,0.1497882887
T3_301_NH2_I_H_H-L2_216_CHO_H_H-HCB_A-AA,1.099,0.0917970776
T3_301_NH2_F_H_H-L2_217_CHO_H_H-HCB_A-AA,2.257,0.151578243
T3_301_NH2_CHO_H_H-L2_207_CHO_H_H-HCB_A-AA,1.852,0.1819603945
T3_301_NH2_CHS_H_H-L2_216_CHO_H_H-HCB_A-AA,1.276,0.1068309256
T3_301_NH2_OMe_H_H-L2_205_CHO_H_H-HCB_A-AA,2.505,0.148067791
T3_301_NH2_F_H_H-L2_209_CHO_H_H-HCB_A-AA,2.207,0.0489946306
T3_301_NH2_I_H_H-L2_213_CHO_H_H-HCB_A-AA,1.447,0.1354705065
T3_301_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,2.271,0.1778807428
T3_301_NH2_CN_H_H-L2_209_CHO_H_H-HCB_A-AA,1.939,0.1765217342
T3_301_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,1.444,0.064717128
