cifname,Pore_diameters,GCMC吸附
T3_301_NH2_Br_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.641
T3_301_NH2_Br_H_H-L2_202_CHO_H_H-HCB_A-AA,15.69348,1.088
T3_301_NH2_Br_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.858
T3_301_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,9.2062,0.64
T3_301_NH2_Br_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.663
T3_301_NH2_Br_H_H-L2_206_CHO_H_H-HCB_A-AA,18.47056,1.349
T3_301_NH2_Br_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.492
T3_301_NH2_Br_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.68
T3_301_NH2_Br_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,1.856
T3_301_NH2_Br_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.157
T3_301_NH2_Br_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.202
T3_301_NH2_Br_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.005
T3_301_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.404
T3_301_NH2_Br_H_H-L2_214_CHO_H_H-HCB_A-AA,15.25749,0.969
T3_301_NH2_Br_H_H-L2_215_CHO_H_H-HCB_A-AA,15.25529,1.003
T3_301_NH2_Br_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,1.057
T3_301_NH2_Br_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.36
T3_301_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,22.5281,2.271
T3_301_NH2_CH3_H_H-L2_202_CHO_H_H-HCB_A-AA,16.16938,1.718
T3_301_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,22.49697,2.378
T3_301_NH2_CH3_H_H-L2_204_CHO-HCB_A-AA,10.51519,0.916
T3_301_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,18.55539,2.264
T3_301_NH2_CH3_H_H-L2_206_CHO_H_H-HCB_A-AA,18.76724,1.98
T3_301_NH2_CH3_H_H-L2_207_CHO_H_H-HCB_A-AA,22.49697,2.305
T3_301_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,22.49697,2.525
T3_301_NH2_CH3_H_H-L2_209_CHO_H_H-HCB_A-AA,20.86751,3.187
T3_301_NH2_CH3_H_H-L2_210_CHO_H_H-HCB_A-AA,15.65676,1.702
T3_301_NH2_CH3_H_H-L2_211_CHO_H_H-HCB_A-AA,12.34789,1.737
T3_301_NH2_CH3_H_H-L2_212_CHO_H_H-HCB_A-AA,20.94102,2.693
T3_301_NH2_CH3_H_H-L2_213_CHO_H_H-HCB_A-AA,19.40468,2.234
T3_301_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,15.65682,1.444
T3_301_NH2_CH3_H_H-L2_215_CHO_H_H-HCB_A-AA,15.65679,1.482
T3_301_NH2_CH3_H_H-L2_216_CHO_H_H-HCB_A-AA,15.65676,1.492
T3_301_NH2_CH3_H_H-L2_217_CHO_H_H-HCB_A-AA,21.12181,2.934
T3_301_NH2_CHO_H_H-L2_201_CHO_H_H-HCB_A-AA,22.40536,1.902
T3_301_NH2_CHO_H_H-L2_202_CHO_H_H-HCB_A-AA,15.95007,1.344
T3_301_NH2_CHO_H_H-L2_203_CHO_H_H-HCB_A-AA,22.37408,1.985
T3_301_NH2_CHO_H_H-L2_204_CHO-HCB_A-AA,9.65744,0.74
T3_301_NH2_CHO_H_H-L2_205_CHO_H_H-HCB_A-AA,18.40899,1.767
T3_301_NH2_CHO_H_H-L2_206_CHO_H_H-HCB_A-AA,18.64258,1.624
T3_301_NH2_CHO_H_H-L2_207_CHO_H_H-HCB_A-AA,22.37408,1.852
T3_301_NH2_CHO_H_H-L2_208_CHO_H_H-HCB_A-AA,22.37408,1.905
T3_301_NH2_CHO_H_H-L2_209_CHO_H_H-HCB_A-AA,20.73589,2.349
T3_301_NH2_CHO_H_H-L2_210_CHO_H_H-HCB_A-AA,15.48635,1.308
T3_301_NH2_CHO_H_H-L2_211_CHO_H_H-HCB_A-AA,12.15739,1.428
T3_301_NH2_CHO_H_H-L2_212_CHO_H_H-HCB_A-AA,20.80982,2.172
T3_301_NH2_CHO_H_H-L2_213_CHO_H_H-HCB_A-AA,19.26408,1.773
T3_301_NH2_CHO_H_H-L2_214_CHO_H_H-HCB_A-AA,15.48641,1.135
T3_301_NH2_CHO_H_H-L2_215_CHO_H_H-HCB_A-AA,15.48639,1.12
T3_301_NH2_CHO_H_H-L2_216_CHO_H_H-HCB_A-AA,15.48635,1.207
T3_301_NH2_CHO_H_H-L2_217_CHO_H_H-HCB_A-AA,20.99163,2.5
T3_301_NH2_CHS_H_H-L2_201_CHO_H_H-HCB_A-AA,22.40536,2.072
T3_301_NH2_CHS_H_H-L2_202_CHO_H_H-HCB_A-AA,15.55391,1.443
T3_301_NH2_CHS_H_H-L2_203_CHO_H_H-HCB_A-AA,22.37408,2.047
T3_301_NH2_CHS_H_H-L2_204_CHO-HCB_A-AA,9.23443,0.814
T3_301_NH2_CHS_H_H-L2_205_CHO_H_H-HCB_A-AA,18.40899,2.008
T3_301_NH2_CHS_H_H-L2_206_CHO_H_H-HCB_A-AA,18.64258,1.646
T3_301_NH2_CHS_H_H-L2_207_CHO_H_H-HCB_A-AA,22.37408,2.013
T3_301_NH2_CHS_H_H-L2_208_CHO_H_H-HCB_A-AA,22.37408,2.024
T3_301_NH2_CHS_H_H-L2_209_CHO_H_H-HCB_A-AA,20.73589,2.48
T3_301_NH2_CHS_H_H-L2_210_CHO_H_H-HCB_A-AA,15.17353,1.324
T3_301_NH2_CHS_H_H-L2_211_CHO_H_H-HCB_A-AA,12.15739,1.636
T3_301_NH2_CHS_H_H-L2_212_CHO_H_H-HCB_A-AA,20.80982,2.271
T3_301_NH2_CHS_H_H-L2_213_CHO_H_H-HCB_A-AA,19.26408,1.781
T3_301_NH2_CHS_H_H-L2_214_CHO_H_H-HCB_A-AA,15.17338,1.174
T3_301_NH2_CHS_H_H-L2_215_CHO_H_H-HCB_A-AA,15.17354,1.236
T3_301_NH2_CHS_H_H-L2_216_CHO_H_H-HCB_A-AA,15.17353,1.276
T3_301_NH2_CHS_H_H-L2_217_CHO_H_H-HCB_A-AA,20.99163,2.536
T3_301_NH2_CN_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.582
T3_301_NH2_CN_H_H-L2_202_CHO_H_H-HCB_A-AA,15.79061,1.058
T3_301_NH2_CN_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.78
T3_301_NH2_CN_H_H-L2_204_CHO-HCB_A-AA,9.66353,0.565
