cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_301_NH2_EPO_H_H-L2_216_CHO_H_H-HCB_A-AA,0.44172,4054.16,0.915597,14.80323,1.618
T3_301_NH2_EPO_H_H-L2_204_CHO-HCB_A-AA,0.33138,4298.81,0.602893,9.00138,1.102
T3_301_NH2_SH_H_H-L2_208_CHO_H_H-HCB_A-AA,0.52654,2558.4,1.01537,22.21663,1.754
T3_301_NH2_NO2_H_H-L2_201_CHO_H_H-HCB_A-AA,0.54882,2965.76,1.17892,22.43058,2.013
T3_301_NH2_Cl_H_H-L2_207_CHO_H_H-HCB_A-AA,0.5244,2473.82,0.991186,22.21663,1.607
T3_301_NH2_CHS_H_H-L2_212_CHO_H_H-HCB_A-AA,0.4769,2976.22,0.947307,20.80982,2.271
T3_301_NH2_CH3_H_H-L2_209_CHO_H_H-HCB_A-AA,0.51666,4109.31,1.27651,20.86751,3.187
T3_301_NH2_CHS_H_H-L2_204_CHO-HCB_A-AA,0.31224,3149.58,0.488064,9.23443,0.814
T3_301_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,0.51862,2547.89,1.00269,22.21663,1.462
T3_301_NH2_H_H_H-L2_206_CHO_H_H-HCB_A-AA,0.478,2375.51,0.794328,18.47056,1.619
T3_301_NH2_Br_H_H-L2_216_CHO_H_H-HCB_A-AA,0.40168,1964.95,0.512399,15.26686,1.057
T3_301_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5572,4451.34,1.52641,22.51142,2.745
T3_301_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,0.51554,2026.2,0.81029,22.21663,1.646
T3_301_NH2_SH_H_H-L2_209_CHO_H_H-HCB_A-AA,0.47386,2222.68,0.785305,20.56711,2.117
T3_301_NH2_I_H_H-L2_216_CHO_H_H-HCB_A-AA,0.3911,1713.17,0.44016,14.31262,1.099
T3_301_NH2_F_H_H-L2_217_CHO_H_H-HCB_A-AA,0.49856,2465.66,0.91132,20.82472,2.257
T3_301_NH2_CHO_H_H-L2_207_CHO_H_H-HCB_A-AA,0.54414,3573.71,1.31891,22.37408,1.852
T3_301_NH2_CHS_H_H-L2_216_CHO_H_H-HCB_A-AA,0.42146,3004.92,0.753415,15.17353,1.276
T3_301_NH2_OMe_H_H-L2_205_CHO_H_H-HCB_A-AA,0.48498,4108.04,1.12183,18.54296,2.505
T3_301_NH2_F_H_H-L2_209_CHO_H_H-HCB_A-AA,0.47774,2306.85,0.815221,20.56711,2.207
T3_301_NH2_I_H_H-L2_213_CHO_H_H-HCB_A-AA,0.46464,1856.64,0.636981,19.08362,1.447
T3_301_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,0.56792,3994.56,1.4388,22.5281,2.271
T3_301_NH2_CN_H_H-L2_209_CHO_H_H-HCB_A-AA,0.46658,2209.68,0.784571,20.56711,1.939
T3_301_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,0.46098,4351.25,1.03494,15.65682,1.444
T3_301_NH2_NO2_H_H-L2_213_CHO_H_H-HCB_A-AA,0.4991,3205.16,1.07324,19.29298,1.713
T3_301_NH2_OCOCH3_H_H-L2_201_CHO_H_H-HCB_A-AA,0.58194,5863.82,1.5231,21.70494,3.349
T3_301_NH2_OCOCH3_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5825,6739.44,1.71915,21.57669,3.941
T3_301_NH2_Cl_H_H-L2_205_CHO_H_H-HCB_A-AA,0.44502,2330.63,0.71555,18.22096,1.607
T3_301_NH2_CN_H_H-L2_206_CHO_H_H-HCB_A-AA,0.45708,2141.87,0.710666,18.46437,1.327
T3_301_NH2_NH2_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53286,2216.74,0.938196,22.24812,1.861
T3_301_NH2_OMe_H_H-L2_212_CHO_H_H-HCB_A-AA,0.50012,3886.45,1.15029,20.92987,2.806
T3_301_NH2_COOH_H_H-L2_203_CHO_H_H-HCB_A-AA,0.54972,3524.12,1.31069,22.39844,2.028
T3_301_NH2_Br_H_H-L2_215_CHO_H_H-HCB_A-AA,0.40624,1888.42,0.518216,15.25529,1.003
T3_301_NH2_F_H_H-L2_216_CHO_H_H-HCB_A-AA,0.4194,2411.43,0.646876,15.26686,1.111
T3_301_NH2_F_H_H-L2_213_CHO_H_H-HCB_A-AA,0.4825,2423.98,0.857082,19.08362,1.52
T3_301_NH2_CHS_H_H-L2_210_CHO_H_H-HCB_A-AA,0.41796,3027.24,0.750664,15.17353,1.324
T3_301_NH2_F_H_H-L2_203_CHO_H_H-HCB_A-AA,0.54038,2621.47,1.05516,22.21663,1.866
T3_301_NH2_NH2_H_H-L2_212_CHO_H_H-HCB_A-AA,0.46356,2322.1,0.773278,20.64158,2.057
T3_301_NH2_OMe_H_H-L2_203_CHO_H_H-HCB_A-AA,0.5674,4373.5,1.53023,22.48652,2.553
T3_301_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,0.49182,4397.05,1.19992,18.55539,2.264
T3_301_NH2_CHO_H_H-L2_206_CHO_H_H-HCB_A-AA,0.48454,3039.76,0.944062,18.64258,1.624
T3_301_NH2_CHS_H_H-L2_217_CHO_H_H-HCB_A-AA,0.50666,3116.03,1.10385,20.99163,2.536
T3_301_NH2_COOH_H_H-L2_207_CHO_H_H-HCB_A-AA,0.54278,3598.76,1.303,22.39844,2.038
T3_301_NH2_CHO_H_H-L2_203_CHO_H_H-HCB_A-AA,0.5514,3506.78,1.32708,22.37408,1.985
T3_301_NH2_CHO_H_H-L2_204_CHO-HCB_A-AA,0.32334,3464.03,0.549505,9.65744,0.74
T3_301_NH2_NO_H_H-L2_214_CHO_H_H-HCB_A-AA,0.41402,2199.93,0.615322,15.26692,1.033
T3_301_NH2_NO2_H_H-L2_211_CHO_H_H-HCB_A-AA,0.34532,2545.57,0.50123,12.19645,1.525
T3_301_NH2_OMe_H_H-L2_217_CHO_H_H-HCB_A-AA,0.52982,4098.81,1.34024,21.11075,3.197
T3_301_NH2_OCOCH3_H_H-L2_216_CHO_H_H-HCB_A-AA,0.47,6079.5,1.03662,13.67896,2.401
T3_301_NH2_EPO_H_H-L2_201_CHO_H_H-HCB_A-AA,0.56142,3787.49,1.35773,22.54254,2.561
T3_301_NH2_OMe_H_H-L2_209_CHO_H_H-HCB_A-AA,0.51052,3891.8,1.20804,20.85633,3.034
T3_301_NH2_I_H_H-L2_212_CHO_H_H-HCB_A-AA,0.45436,1800.58,0.615819,20.64158,2.07
T3_301_NH2_F_H_H-L2_207_CHO_H_H-HCB_A-AA,0.53074,2597.8,1.04389,22.21663,1.545
T3_301_NH2_Cl_H_H-L2_217_CHO_H_H-HCB_A-AA,0.4931,2336.48,0.868738,20.82472,2.311
T3_301_NH2_CHO_H_H-L2_217_CHO_H_H-HCB_A-AA,0.51034,3281.41,1.1517,20.99163,2.5
T3_301_NH2_EPO_H_H-L2_215_CHO_H_H-HCB_A-AA,0.44492,3971.8,0.92223,14.82854,1.504
T3_301_NH2_EPO_H_H-L2_217_CHO_H_H-HCB_A-AA,0.5234,4140.46,1.31952,21.13712,3.046
T3_301_NH2_NO_H_H-L2_210_CHO_H_H-HCB_A-AA,0.40578,2243.44,0.606047,15.26686,1.147
T3_301_NH2_SO2H_H_H-L2_217_CHO_H_H-HCB_A-AA,0.50646,3177.42,1.0881,21.01744,2.592
T3_301_NH2_OMe_H_H-L2_208_CHO_H_H-HCB_A-AA,0.55804,4420.96,1.53769,22.48652,2.528
T3_301_NH2_CH3_H_H-L2_216_CHO_H_H-HCB_A-AA,0.45708,4434.76,1.02619,15.65676,1.492
T3_301_NH2_OH_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42056,2334.02,0.653129,15.26692,0.966
T3_301_NH2_OCOCH3_H_H-L2_217_CHO_H_H-HCB_A-AA,0.55756,6542.74,1.51903,21.28373,4.957
T3_301_NH2_H_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53918,2315.61,0.981606,22.24812,1.779
T3_301_NH2_OMe_H_H-L2_214_CHO_H_H-HCB_A-AA,0.4475,4045.05,0.942458,15.01392,1.404
T3_301_NH2_OMe_H_H-L2_213_CHO_H_H-HCB_A-AA,0.50868,4064.5,1.24376,19.39274,2.032
T3_301_NH2_F_H_H-L2_202_CHO_H_H-HCB_A-AA,0.42168,2376.27,0.677595,15.79061,1.151
T3_301_NH2_CN_H_H-L2_213_CHO_H_H-HCB_A-AA,0.46848,2371.0,0.816469,19.08362,1.343
T3_301_NH2_NH2_H_H-L2_215_CHO_H_H-HCB_A-AA,0.41828,2266.37,0.651805,15.2669,1.088
T3_301_NH2_H_H_H-L2_207_CHO_H_H-HCB_A-AA,0.53486,2817.69,1.10084,22.21663,1.56
T3_301_NH2_OCOCH3_H_H-L2_209_CHO_H_H-HCB_A-AA,0.53804,6315.28,1.37718,21.03121,5.055
T3_301_NH2_SO2H_H_H-L2_203_CHO_H_H-HCB_A-AA,0.5441,3406.02,1.24004,21.93014,1.956
T3_301_NH2_OMe_H_H-L2_206_CHO_H_H-HCB_A-AA,0.4999,3844.71,1.09106,18.71923,1.986
T3_301_NH2_NH2_H_H-L2_214_CHO_H_H-HCB_A-AA,0.41868,2313.03,0.652429,15.26692,1.087
T3_301_NH2_SO2H_H_H-L2_207_CHO_H_H-HCB_A-AA,0.5376,3456.88,1.23323,21.93014,2.066
T3_301_NH2_H_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42972,2530.71,0.706425,15.26692,1.07
T3_301_NH2_SH_H_H-L2_202_CHO_H_H-HCB_A-AA,0.41526,2216.79,0.636216,15.79061,1.246
T3_301_NH2_OMe_H_H-L2_210_CHO_H_H-HCB_A-AA,0.4401,4048.19,0.931424,15.01392,1.649
T3_301_NH2_Cl_H_H-L2_206_CHO_H_H-HCB_A-AA,0.46542,2122.38,0.706476,18.47056,1.427
T3_301_NH2_F_H_H-L2_212_CHO_H_H-HCB_A-AA,0.4666,2347.62,0.77356,20.64158,2.055
T3_301_NH2_I_H_H-L2_206_CHO_H_H-HCB_A-AA,0.45342,1710.13,0.559646,18.26334,1.398
