cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_301_NH2_NH2_H_H-L2_213_CHO_H_H-HCB_A-AA,0.48,2422.78,0.85965,19.08362,1.426
T3_301_NH2_EPO_H_H-L2_207_CHO_H_H-HCB_A-AA,0.55884,4466.07,1.50956,22.51142,2.072
T3_301_NH2_CHO_H_H-L2_212_CHO_H_H-HCB_A-AA,0.47992,3118.57,0.984345,20.80982,1.953
T3_301_NH2_Cl_H_H-L2_206_CHO_H_H-HCB_A-AA,0.46542,2122.38,0.706476,18.47056,1.297
T3_301_NH2_H_H_H-L2_211_CHO_H_H-HCB_A-AA,0.33316,1992.47,0.418766,11.90783,1.191
T3_301_NH2_NH2_H_H-L2_204_CHO-HCB_A-AA,0.31292,2682.72,0.45309,10.50179,0.558
T3_301_NH2_OMe_H_H-L2_216_CHO_H_H-HCB_A-AA,0.44448,4099.84,0.936098,15.01392,1.293
T3_301_NH2_NO2_H_H-L2_212_CHO_H_H-HCB_A-AA,0.48366,3131.48,0.987365,20.83678,2.054
T3_301_NH2_OMe_H_H-L2_212_CHO_H_H-HCB_A-AA,0.50012,3886.45,1.15029,20.92987,2.458
T3_301_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,0.46098,4351.25,1.03494,15.65682,1.249
T3_301_NH2_CHS_H_H-L2_205_CHO_H_H-HCB_A-AA,0.4621,3175.72,0.915081,18.40899,1.668
T3_301_NH2_NO_H_H-L2_213_CHO_H_H-HCB_A-AA,0.47668,2340.1,0.821946,19.08362,1.421
T3_301_NH2_H_H_H-L2_204_CHO-HCB_A-AA,0.34222,3011.6,0.543157,11.49283,0.523
T3_301_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,0.47262,2064.59,0.719441,19.08362,1.358
T3_301_NH2_OH_H_H-L2_213_CHO_H_H-HCB_A-AA,0.48056,2436.11,0.858319,19.08362,1.346
T3_301_NH2_I_H_H-L2_214_CHO_H_H-HCB_A-AA,0.39584,1654.03,0.445495,14.36008,0.917
T3_301_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,0.40018,2247.79,0.602705,14.60836,0.866
T3_301_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,0.56474,4670.11,1.63495,22.49697,2.093
T3_301_NH2_Cl_H_H-L2_211_CHO_H_H-HCB_A-AA,0.32172,1725.58,0.36884,11.90783,1.106
T3_301_NH2_CN_H_H-L2_201_CHO_H_H-HCB_A-AA,0.52364,2150.05,0.902211,22.24812,1.592
T3_301_NH2_OH_H_H-L2_209_CHO_H_H-HCB_A-AA,0.47604,2331.26,0.815743,20.56711,1.951
T3_301_NH2_OH_H_H-L2_206_CHO_H_H-HCB_A-AA,0.47116,2234.24,0.749952,18.47056,1.232
T3_301_NH2_SO2H_H_H-L2_212_CHO_H_H-HCB_A-AA,0.47702,2952.79,0.93781,20.83583,2.071
T3_301_NH2_CN_H_H-L2_217_CHO_H_H-HCB_A-AA,0.4887,2369.53,0.87922,20.82472,2.059
T3_301_NH2_SO2H_H_H-L2_214_CHO_H_H-HCB_A-AA,0.41524,2963.73,0.718251,13.96804,1.171
T3_301_NH2_COOH_H_H-L2_203_CHO_H_H-HCB_A-AA,0.54972,3524.12,1.31069,22.39844,1.78
T3_301_NH2_OH_H_H-L2_210_CHO_H_H-HCB_A-AA,0.41182,2360.9,0.642849,15.26686,1.089
T3_301_NH2_SH_H_H-L2_207_CHO_H_H-HCB_A-AA,0.52664,2546.97,1.00106,22.21663,1.52
T3_301_NH2_COOH_H_H-L2_206_CHO_H_H-HCB_A-AA,0.48102,3052.63,0.926112,18.49058,1.492
T3_301_NH2_CHS_H_H-L2_203_CHO_H_H-HCB_A-AA,0.5475,3365.15,1.26896,22.37408,1.814
T3_301_NH2_CH3_H_H-L2_217_CHO_H_H-HCB_A-AA,0.53286,4327.36,1.41124,21.12181,2.628
T3_301_NH2_COOH_H_H-L2_201_CHO_H_H-HCB_A-AA,0.54398,3014.93,1.16973,22.42969,1.78
T3_301_NH2_NO2_H_H-L2_209_CHO_H_H-HCB_A-AA,0.49598,3087.27,1.04113,20.76294,1.964
T3_301_NH2_CH3_H_H-L2_212_CHO_H_H-HCB_A-AA,0.50318,4119.95,1.20764,20.94102,2.356
T3_301_NH2_SO2H_H_H-L2_208_CHO_H_H-HCB_A-AA,0.53654,3416.86,1.24735,21.93014,1.826
T3_301_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,0.57356,4615.76,1.62378,22.49697,2.117
T3_301_NH2_OCOCH3_H_H-L2_217_CHO_H_H-HCB_A-AA,0.55756,6542.74,1.51903,21.28373,3.743
T3_301_NH2_NH2_H_H-L2_215_CHO_H_H-HCB_A-AA,0.41828,2266.37,0.651805,15.2669,1.018
T3_301_NH2_SH_H_H-L2_210_CHO_H_H-HCB_A-AA,0.40766,2203.27,0.602708,15.26686,1.172
T3_301_NH2_EPO_H_H-L2_201_CHO_H_H-HCB_A-AA,0.56142,3787.49,1.35773,22.54254,2.195
T3_301_NH2_Cl_H_H-L2_212_CHO_H_H-HCB_A-AA,0.46114,2183.13,0.739344,20.64158,1.773
T3_301_NH2_I_H_H-L2_212_CHO_H_H-HCB_A-AA,0.45436,1800.58,0.615819,20.64158,1.759
T3_301_NH2_F_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42362,2296.65,0.653384,15.26692,1.007
T3_301_NH2_H_H_H-L2_209_CHO_H_H-HCB_A-AA,0.48144,2443.83,0.853909,20.56711,1.91
T3_301_NH2_EPO_H_H-L2_210_CHO_H_H-HCB_A-AA,0.438,3972.74,0.912174,14.80323,1.402
T3_301_NH2_H_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53918,2315.61,0.981606,22.24812,1.689
T3_301_NH2_NO_H_H-L2_216_CHO_H_H-HCB_A-AA,0.4101,2298.59,0.609496,15.26686,1.057
T3_301_NH2_Cl_H_H-L2_202_CHO_H_H-HCB_A-AA,0.41144,2223.9,0.625443,15.79061,1.012
T3_301_NH2_CN_H_H-L2_202_CHO_H_H-HCB_A-AA,0.40034,2306.01,0.628012,14.96912,1.002
T3_301_NH2_CHS_H_H-L2_207_CHO_H_H-HCB_A-AA,0.54084,3407.6,1.2621,22.37408,1.653
T3_301_NH2_SO2H_H_H-L2_209_CHO_H_H-HCB_A-AA,0.48756,2977.24,0.984985,20.76199,2.162
T3_301_NH2_F_H_H-L2_215_CHO_H_H-HCB_A-AA,0.42318,2327.46,0.652706,15.2669,0.973
T3_301_NH2_I_H_H-L2_205_CHO_H_H-HCB_A-AA,0.4342,1868.33,0.562684,18.22096,1.458
T3_301_NH2_NO2_H_H-L2_211_CHO_H_H-HCB_A-AA,0.34532,2545.57,0.50123,12.19645,1.264
T3_301_NH2_COOH_H_H-L2_207_CHO_H_H-HCB_A-AA,0.54278,3598.76,1.303,22.39844,1.772
T3_301_NH2_CHO_H_H-L2_215_CHO_H_H-HCB_A-AA,0.431,3124.57,0.811556,15.48639,1.012
T3_301_NH2_COOH_H_H-L2_205_CHO_H_H-HCB_A-AA,0.46558,3341.04,0.948458,18.43803,1.589
T3_301_NH2_SH_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53162,2081.69,0.902314,22.24812,1.623
T3_301_NH2_OMe_H_H-L2_208_CHO_H_H-HCB_A-AA,0.55804,4420.96,1.53769,22.48652,2.141
T3_301_NH2_CHO_H_H-L2_201_CHO_H_H-HCB_A-AA,0.54714,2968.29,1.18285,22.40536,1.758
T3_301_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,0.56792,3994.56,1.4388,22.5281,1.991
T3_301_NH2_NO_H_H-L2_202_CHO_H_H-HCB_A-AA,0.413,2259.13,0.63924,15.79061,1.042
T3_301_NH2_SH_H_H-L2_206_CHO_H_H-HCB_A-AA,0.46838,2145.97,0.715245,18.47056,1.353
T3_301_NH2_F_H_H-L2_203_CHO_H_H-HCB_A-AA,0.54038,2621.47,1.05516,22.21663,1.54
T3_301_NH2_Br_H_H-L2_201_CHO_H_H-HCB_A-AA,0.52672,1933.84,0.813554,22.24812,1.7
T3_301_NH2_F_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53538,2247.18,0.93653,22.24812,1.647
T3_301_NH2_OCOCH3_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5825,6739.44,1.71915,21.57669,2.949
T3_301_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,0.51862,2547.89,1.00269,22.21663,1.409
T3_301_NH2_NO_H_H-L2_208_CHO_H_H-HCB_A-AA,0.52546,2560.59,1.02086,22.21663,1.531
T3_301_NH2_OH_H_H-L2_205_CHO_H_H-HCB_A-AA,0.4504,2430.63,0.761164,18.22096,1.629
T3_301_NH2_NH2_H_H-L2_202_CHO_H_H-HCB_A-AA,0.41762,2444.89,0.678068,15.79061,1.179
T3_301_NH2_CHS_H_H-L2_204_CHO-HCB_A-AA,0.31224,3149.58,0.488064,9.23443,0.804
T3_301_NH2_F_H_H-L2_207_CHO_H_H-HCB_A-AA,0.53074,2597.8,1.04389,22.21663,1.466
T3_301_NH2_COOH_H_H-L2_211_CHO_H_H-HCB_A-AA,0.3395,2473.2,0.493503,12.19508,1.206
T3_301_NH2_CHO_H_H-L2_214_CHO_H_H-HCB_A-AA,0.43184,3138.64,0.813138,15.48641,1.077
T3_301_NH2_OMe_H_H-L2_210_CHO_H_H-HCB_A-AA,0.4401,4048.19,0.931424,15.01392,1.325
T3_301_NH2_NO2_H_H-L2_217_CHO_H_H-HCB_A-AA,0.51378,3286.38,1.15019,21.01838,2.293
T3_301_NH2_SO2H_H_H-L2_204_CHO-HCB_A-AA,0.2845,3167.46,0.415888,8.14405,0.686
T3_301_NH2_EPO_H_H-L2_206_CHO_H_H-HCB_A-AA,0.49698,3852.53,1.07696,18.59012,1.711
T3_301_NH2_CHS_H_H-L2_202_CHO_H_H-HCB_A-AA,0.42758,3032.84,0.795652,15.55391,1.279
T3_301_NH2_Cl_H_H-L2_210_CHO_H_H-HCB_A-AA,0.40326,2193.69,0.591571,15.26686,1.019
T3_301_NH2_SO2H_H_H-L2_213_CHO_H_H-HCB_A-AA,0.486,3154.66,0.995589,18.70067,1.61
T3_301_NH2_CN_H_H-L2_206_CHO_H_H-HCB_A-AA,0.45708,2141.87,0.710666,18.46437,1.163
T3_301_NH2_OCOCH3_H_H-L2_205_CHO_H_H-HCB_A-AA,0.51222,6327.64,1.26133,17.53605,3.211
T3_301_NH2_CH3_H_H-L2_216_CHO_H_H-HCB_A-AA,0.45708,4434.76,1.02619,15.65676,1.285
T3_301_NH2_COOH_H_H-L2_209_CHO_H_H-HCB_A-AA,0.49208,3105.16,1.03395,20.76199,2.066
T3_301_NH2_CHS_H_H-L2_201_CHO_H_H-HCB_A-AA,0.54436,2887.29,1.1379,22.40536,1.917
T3_301_NH2_H_H_H-L2_206_CHO_H_H-HCB_A-AA,0.478,2375.51,0.794328,18.47056,1.302
T3_301_NH2_CN_H_H-L2_216_CHO_H_H-HCB_A-AA,0.39568,2330.09,0.595927,14.57963,0.952
T3_301_NH2_CN_H_H-L2_203_CHO_H_H-HCB_A-AA,0.52722,2607.76,1.01207,22.21663,1.417
T3_301_NH2_Br_H_H-L2_203_CHO_H_H-HCB_A-AA,0.53018,2305.25,0.900884,22.21663,1.583
T3_301_NH2_F_H_H-L2_205_CHO_H_H-HCB_A-AA,0.45192,2522.2,0.759548,18.22096,1.563
T3_301_NH2_I_H_H-L2_210_CHO_H_H-HCB_A-AA,0.38744,1667.14,0.437666,14.31262,0.975
T3_301_NH2_Br_H_H-L2_205_CHO_H_H-HCB_A-AA,0.44154,2089.55,0.635578,18.22096,1.459
T3_301_NH2_EPO_H_H-L2_209_CHO_H_H-HCB_A-AA,0.50948,3900.83,1.20381,20.88299,2.566
T3_301_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,0.29096,1884.27,0.306802,9.2062,0.602
T3_301_NH2_EPO_H_H-L2_212_CHO_H_H-HCB_A-AA,0.49594,3934.3,1.1395,20.95645,2.331
T3_301_NH2_CHS_H_H-L2_213_CHO_H_H-HCB_A-AA,0.49276,3168.89,1.03159,19.26408,1.656
T3_301_NH2_NH2_H_H-L2_203_CHO_H_H-HCB_A-AA,0.53658,2641.79,1.05543,22.21663,1.723
T3_301_NH2_NO_H_H-L2_217_CHO_H_H-HCB_A-AA,0.49606,2348.03,0.884544,20.82472,2.27
T3_301_NH2_SO2H_H_H-L2_210_CHO_H_H-HCB_A-AA,0.40774,2920.95,0.70839,13.87389,1.174
T3_301_NH2_NO2_H_H-L2_214_CHO_H_H-HCB_A-AA,0.43356,3063.01,0.79566,15.52149,1.089
T3_301_NH2_SH_H_H-L2_216_CHO_H_H-HCB_A-AA,0.4117,2289.26,0.605727,15.26686,1.051
T3_301_NH2_OH_H_H-L2_211_CHO_H_H-HCB_A-AA,0.32716,1852.09,0.393605,11.90783,1.11
T3_301_NH2_COOH_H_H-L2_216_CHO_H_H-HCB_A-AA,0.42104,3175.8,0.774317,14.61923,1.1
T3_301_NH2_OCOCH3_H_H-L2_204_CHO-HCB_A-AA,0.34396,6433.34,0.647396,8.49312,0.965
T3_301_NH2_CN_H_H-L2_210_CHO_H_H-HCB_A-AA,0.39194,2284.68,0.593242,14.57963,1.002
T3_301_NH2_NO2_H_H-L2_213_CHO_H_H-HCB_A-AA,0.4991,3205.16,1.07324,19.29298,1.578
T3_301_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5572,4451.34,1.52641,22.51142,2.166
T3_301_NH2_OCOCH3_H_H-L2_214_CHO_H_H-HCB_A-AA,0.47264,6016.68,1.04245,13.79938,1.88
T3_301_NH2_H_H_H-L2_205_CHO_H_H-HCB_A-AA,0.45694,2612.87,0.807985,18.22096,1.732
T3_301_NH2_OMe_H_H-L2_211_CHO_H_H-HCB_A-AA,0.3582,3200.89,0.590572,12.33167,1.405
T3_301_NH2_EPO_H_H-L2_203_CHO_H_H-HCB_A-AA,0.56458,4388.51,1.51466,22.51142,2.297
T3_301_NH2_H_H_H-L2_210_CHO_H_H-HCB_A-AA,0.42122,2565.02,0.696227,15.26686,1.182
T3_301_NH2_SH_H_H-L2_202_CHO_H_H-HCB_A-AA,0.41526,2216.79,0.636216,15.79061,1.19
T3_301_NH2_NO2_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5462,3538.51,1.3279,22.39933,1.876
T3_301_NH2_SH_H_H-L2_213_CHO_H_H-HCB_A-AA,0.47866,2314.89,0.818678,19.08362,1.51
T3_301_NH2_NO2_H_H-L2_210_CHO_H_H-HCB_A-AA,0.42526,3114.56,0.784079,15.52143,1.224
T3_301_NH2_NH2_H_H-L2_206_CHO_H_H-HCB_A-AA,0.46974,2235.0,0.749636,18.47056,1.323
T3_301_NH2_CH3_H_H-L2_202_CHO_H_H-HCB_A-AA,0.462,4387.96,1.08077,16.16938,1.385
T3_301_NH2_F_H_H-L2_204_CHO-HCB_A-AA,0.3254,2628.08,0.463112,10.85624,0.467
T3_301_NH2_OH_H_H-L2_215_CHO_H_H-HCB_A-AA,0.42016,2336.61,0.652508,15.2669,0.957
T3_301_NH2_SH_H_H-L2_212_CHO_H_H-HCB_A-AA,0.46306,2177.23,0.745972,20.64158,1.942
T3_301_NH2_NH2_H_H-L2_208_CHO_H_H-HCB_A-AA,0.52774,2647.08,1.06145,22.21663,1.622
T3_301_NH2_SO2H_H_H-L2_205_CHO_H_H-HCB_A-AA,0.45888,3135.3,0.889024,17.83952,1.623
T3_301_NH2_SO2H_H_H-L2_215_CHO_H_H-HCB_A-AA,0.41414,2950.68,0.716349,13.96804,1.143
T3_301_NH2_Br_H_H-L2_210_CHO_H_H-HCB_A-AA,0.39786,1917.2,0.509671,15.26686,1.058
T3_301_NH2_OMe_H_H-L2_215_CHO_H_H-HCB_A-AA,0.446,4009.12,0.939299,15.01392,1.274
T3_301_NH2_COOH_H_H-L2_213_CHO_H_H-HCB_A-AA,0.49284,3320.99,1.0614,19.29197,1.602
T3_301_NH2_F_H_H-L2_209_CHO_H_H-HCB_A-AA,0.47774,2306.85,0.815221,20.56711,1.967
