cifname,value1,value2
T3_303_NH2_Br_H_H-L2_201_CHO_H_H-HCB_A-AA,3.732421875,29.62455
T3_303_NH2_Br_H_H-L2_202_CHO_H_H-HCB_A-AA,4.58984375,22.80915
T3_303_NH2_Br_H_H-L2_203_CHO_H_H-HCB_A-AA,5.7109375,29.58964
T3_303_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,2.06640625,16.21996
T3_303_NH2_Br_H_H-L2_205_CHO_H_H-HCB_A-AA,4.734375,25.45503
T3_303_NH2_Br_H_H-L2_206_CHO_H_H-HCB_A-AA,2.294921875,25.80354
T3_303_NH2_Br_H_H-L2_207_CHO_H_H-HCB_A-AA,4.203125,29.58964
T3_303_NH2_Br_H_H-L2_208_CHO_H_H-HCB_A-AA,5.52734375,29.58964
T3_303_NH2_Br_H_H-L2_209_CHO_H_H-HCB_A-AA,5.2578125,27.92707
T3_303_NH2_Br_H_H-L2_210_CHO_H_H-HCB_A-AA,4.484375,22.42193
T3_303_NH2_Br_H_H-L2_211_CHO_H_H-HCB_A-AA,5.33984375,19.16605
T3_303_NH2_Br_H_H-L2_212_CHO_H_H-HCB_A-AA,3.45703125,27.97925
T3_303_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,4.3125,26.42579
T3_303_NH2_Br_H_H-L2_214_CHO_H_H-HCB_A-AA,3.689453125,22.42359
T3_303_NH2_Br_H_H-L2_215_CHO_H_H-HCB_A-AA,3.759765625,22.42193
T3_303_NH2_Br_H_H-L2_216_CHO_H_H-HCB_A-AA,3.771484375,22.42193
T3_303_NH2_Br_H_H-L2_217_CHO_H_H-HCB_A-AA,5.04296875,28.16151
T3_303_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,4.64453125,29.84009
T3_303_NH2_CH3_H_H-L2_202_CHO_H_H-HCB_A-AA,4.296875,23.38099
T3_303_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,4.34765625,29.80542
T3_303_NH2_CH3_H_H-L2_204_CHO-HCB_A-AA,3.478515625,17.49176
T3_303_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,5.55859375,25.70283
T3_303_NH2_CH3_H_H-L2_206_CHO_H_H-HCB_A-AA,4.4296875,26.03729
T3_303_NH2_CH3_H_H-L2_207_CHO_H_H-HCB_A-AA,4.3125,29.80542
T3_303_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,4.71875,29.80542
T3_303_NH2_CH3_H_H-L2_209_CHO_H_H-HCB_A-AA,4.3203125,28.15467
T3_303_NH2_CH3_H_H-L2_210_CHO_H_H-HCB_A-AA,4.41796875,22.85645
T3_303_NH2_CH3_H_H-L2_211_CHO_H_H-HCB_A-AA,4.76953125,19.46747
T3_303_NH2_CH3_H_H-L2_212_CHO_H_H-HCB_A-AA,4.64453125,28.20647
T3_303_NH2_CH3_H_H-L2_213_CHO_H_H-HCB_A-AA,4.37109375,26.66525
T3_303_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,4.71484375,22.85651
T3_303_NH2_CH3_H_H-L2_215_CHO_H_H-HCB_A-AA,4.51953125,22.85649
T3_303_NH2_CH3_H_H-L2_216_CHO_H_H-HCB_A-AA,5.08984375,22.85645
T3_303_NH2_CH3_H_H-L2_217_CHO_H_H-HCB_A-AA,4.52734375,28.38737
T3_303_NH2_CHO_H_H-L2_201_CHO_H_H-HCB_A-AA,4.47265625,29.74548
T3_303_NH2_CHO_H_H-L2_202_CHO_H_H-HCB_A-AA,4.29296875,22.88179
T3_303_NH2_CHO_H_H-L2_203_CHO_H_H-HCB_A-AA,4.4140625,29.71070
T3_303_NH2_CHO_H_H-L2_204_CHO-HCB_A-AA,4.140625,16.40421
T3_303_NH2_CHO_H_H-L2_205_CHO_H_H-HCB_A-AA,4.47265625,25.59413
T3_303_NH2_CHO_H_H-L2_206_CHO_H_H-HCB_A-AA,4.4765625,25.93695
T3_303_NH2_CHO_H_H-L2_207_CHO_H_H-HCB_A-AA,4.3046875,29.71070
T3_303_NH2_CHO_H_H-L2_208_CHO_H_H-HCB_A-AA,9.1875,29.71070
T3_303_NH2_CHO_H_H-L2_209_CHO_H_H-HCB_A-AA,4.40625,28.05479
T3_303_NH2_CHO_H_H-L2_210_CHO_H_H-HCB_A-AA,4.34375,22.50071
T3_303_NH2_CHO_H_H-L2_211_CHO_H_H-HCB_A-AA,4.9765625,19.33462
T3_303_NH2_CHO_H_H-L2_212_CHO_H_H-HCB_A-AA,4.25,28.10676
T3_303_NH2_CHO_H_H-L2_213_CHO_H_H-HCB_A-AA,4.41015625,26.56019
T3_303_NH2_CHO_H_H-L2_214_CHO_H_H-HCB_A-AA,3.166015625,22.50071
T3_303_NH2_CHO_H_H-L2_215_CHO_H_H-HCB_A-AA,3.72265625,22.50100
