cifname,value1,value2
T3_303_NH2_CHS_H_H-L2_203_CHO_H_H-HCB_A-AA,2.591,0.268799379
T3_303_NH2_CN_H_H-L2_217_CHO_H_H-HCB_A-AA,2.689,0.187426261
T3_303_NH2_Cl_H_H-L2_217_CHO_H_H-HCB_A-AA,2.604,0.1786911868
T3_303_NH2_NO2_H_H-L2_217_CHO_H_H-HCB_A-AA,3.002,0.1956341563
T3_303_NH2_NO2_H_H-L2_208_CHO_H_H-HCB_A-AA,2.708,0.2043049248
T3_303_NH2_OMe_H_H-L2_205_CHO_H_H-HCB_A-AA,2.936,0.1448050583
T3_303_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,1.531,0.1172346574
T3_303_NH2_F_H_H-L2_204_CHO-HCB_A-AA,1.069,0.1025993977
T3_303_NH2_CHS_H_H-L2_206_CHO_H_H-HCB_A-AA,2.418,0.1537863913
T3_303_NH2_I_H_H-L2_210_CHO_H_H-HCB_A-AA,1.641,0.1650728274
T3_303_NH2_CN_H_H-L2_209_CHO_H_H-HCB_A-AA,2.526,0.143266883
T3_303_NH2_OCOCH3_H_H-L2_215_CHO_H_H-HCB_A-AA,3.111,0.1338826552
T3_303_NH2_CN_H_H-L2_214_CHO_H_H-HCB_A-AA,1.51,0.1523642189
T3_303_NH2_CN_H_H-L2_205_CHO_H_H-HCB_A-AA,2.089,0.1006084598
T3_303_NH2_OH_H_H-L2_209_CHO_H_H-HCB_A-AA,2.62,0.366442515
T3_303_NH2_NH2_H_H-L2_204_CHO-HCB_A-AA,1.01,0.0646575632
T3_303_NH2_NH2_H_H-L2_212_CHO_H_H-HCB_A-AA,2.493,0.1995826239
T3_303_NH2_NO_H_H-L2_206_CHO_H_H-HCB_A-AA,1.93,0.0609772902
T3_303_NH2_CHO_H_H-L2_205_CHO_H_H-HCB_A-AA,2.51,0.1909698351
T3_303_NH2_CN_H_H-L2_201_CHO_H_H-HCB_A-AA,2.356,0.1329440283
T3_303_NH2_Cl_H_H-L2_211_CHO_H_H-HCB_A-AA,1.782,0.1910505237
T3_303_NH2_SH_H_H-L2_208_CHO_H_H-HCB_A-AA,2.247,0.1255814046
T3_303_NH2_NH2_H_H-L2_206_CHO_H_H-HCB_A-AA,1.947,0.1483018082
T3_303_NH2_Br_H_H-L2_215_CHO_H_H-HCB_A-AA,1.553,0.1181513344
T3_303_NH2_OH_H_H-L2_214_CHO_H_H-HCB_A-AA,1.612,0.1014854878
T3_303_NH2_OH_H_H-L2_217_CHO_H_H-HCB_A-AA,2.918,0.2508250802
T3_303_NH2_COOH_H_H-L2_203_CHO_H_H-HCB_A-AA,2.913,0.1840657567
T3_303_NH2_OH_H_H-L2_210_CHO_H_H-HCB_A-AA,1.744,0.1139006027
T3_303_NH2_H_H_H-L2_216_CHO_H_H-HCB_A-AA,1.739,0.2818152761
T3_303_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,3.211,0.1676782131
T3_303_NH2_Cl_H_H-L2_206_CHO_H_H-HCB_A-AA,2.01,0.1806000828
T3_303_NH2_I_H_H-L2_201_CHO_H_H-HCB_A-AA,2.367,0.149723966
T3_303_NH2_I_H_H-L2_217_CHO_H_H-HCB_A-AA,2.648,0.119125661
T3_303_NH2_EPO_H_H-L2_215_CHO_H_H-HCB_A-AA,2.219,0.3149689774
T3_303_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,1.042,0.0438045411
T3_303_NH2_SO2H_H_H-L2_208_CHO_H_H-HCB_A-AA,2.761,0.2300230519
T3_303_NH2_NO_H_H-L2_203_CHO_H_H-HCB_A-AA,2.433,0.194151384
T3_303_NH2_NO2_H_H-L2_213_CHO_H_H-HCB_A-AA,2.476,0.1556417818
T3_303_NH2_Cl_H_H-L2_209_CHO_H_H-HCB_A-AA,2.603,0.2079500099
T3_303_NH2_Cl_H_H-L2_214_CHO_H_H-HCB_A-AA,1.525,0.1715738684
T3_303_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,3.424,0.1431996311
T3_303_NH2_OMe_H_H-L2_203_CHO_H_H-HCB_A-AA,3.301,0.2998337026
T3_303_NH2_CHS_H_H-L2_204_CHO-HCB_A-AA,1.307,0.105852633
T3_303_NH2_SH_H_H-L2_216_CHO_H_H-HCB_A-AA,1.73,0.1335657046
T3_303_NH2_SO2H_H_H-L2_207_CHO_H_H-HCB_A-AA,2.496,0.0914817312
T3_303_NH2_H_H_H-L2_208_CHO_H_H-HCB_A-AA,2.362,0.1237267902
T3_303_NH2_Cl_H_H-L2_213_CHO_H_H-HCB_A-AA,2.048,0.1692335756
T3_303_NH2_SO2H_H_H-L2_215_CHO_H_H-HCB_A-AA,1.761,0.130604826
T3_303_NH2_Br_H_H-L2_201_CHO_H_H-HCB_A-AA,2.237,0.3604419803
T3_303_NH2_SO2H_H_H-L2_209_CHO_H_H-HCB_A-AA,3.155,0.3132085894
T3_303_NH2_EPO_H_H-L2_213_CHO_H_H-HCB_A-AA,2.981,0.2842317648
T3_303_NH2_COOH_H_H-L2_205_CHO_H_H-HCB_A-AA,2.539,0.1876830586
T3_303_NH2_CN_H_H-L2_216_CHO_H_H-HCB_A-AA,1.546,0.0928404969
