cifname,value1,value2
T3_303_NH2_SH_H_H-L2_207_CHO_H_H-HCB_A-AA,2.231,0.1806747396
T3_303_NH2_SH_H_H-L2_215_CHO_H_H-HCB_A-AA,1.628,0.1491438132
T3_303_NH2_NO2_H_H-L2_214_CHO_H_H-HCB_A-AA,1.69,0.1010479253
T3_303_NH2_NO2_H_H-L2_203_CHO_H_H-HCB_A-AA,2.56,0.0511869108
T3_303_NH2_OH_H_H-L2_204_CHO-HCB_A-AA,0.973,0.0697599466
T3_303_NH2_NO_H_H-L2_212_CHO_H_H-HCB_A-AA,2.412,0.1961259226
T3_303_NH2_NO_H_H-L2_217_CHO_H_H-HCB_A-AA,2.501,0.0704196298
T3_303_NH2_OH_H_H-L2_212_CHO_H_H-HCB_A-AA,2.403,0.2346335895
T3_303_NH2_I_H_H-L2_215_CHO_H_H-HCB_A-AA,1.428,0.1483667474
T3_303_NH2_I_H_H-L2_209_CHO_H_H-HCB_A-AA,2.516,0.1219071795
T3_303_NH2_NO2_H_H-L2_205_CHO_H_H-HCB_A-AA,2.237,0.1677471361
T3_303_NH2_CN_H_H-L2_208_CHO_H_H-HCB_A-AA,1.992,0.0824196223
T3_303_NH2_OCOCH3_H_H-L2_216_CHO_H_H-HCB_A-AA,2.393,0.1134939346
T3_303_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,2.949,0.126330877
T3_303_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,2.1,0.176499905
T3_303_NH2_EPO_H_H-L2_208_CHO_H_H-HCB_A-AA,2.904,0.2273271129
T3_303_NH2_CN_H_H-L2_214_CHO_H_H-HCB_A-AA,1.416,0.0622901245
T3_303_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,0.958,0.1046629313
T3_303_NH2_COOH_H_H-L2_206_CHO_H_H-HCB_A-AA,2.167,0.128538093
T3_303_NH2_CN_H_H-L2_215_CHO_H_H-HCB_A-AA,1.456,0.1079967471
T3_303_NH2_CHS_H_H-L2_208_CHO_H_H-HCB_A-AA,2.575,0.1692563419
T3_303_NH2_NH2_H_H-L2_202_CHO_H_H-HCB_A-AA,1.584,0.1564442871
T3_303_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,2.71,0.1204444948
T3_303_NH2_Cl_H_H-L2_210_CHO_H_H-HCB_A-AA,1.558,0.2152787553
T3_303_NH2_CHS_H_H-L2_203_CHO_H_H-HCB_A-AA,2.601,0.1037199195
T3_303_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,2.954,0.2140582222
T3_303_NH2_I_H_H-L2_206_CHO_H_H-HCB_A-AA,1.805,0.0950552016
T3_303_NH2_CN_H_H-L2_207_CHO_H_H-HCB_A-AA,2.046,0.1406887098
T3_303_NH2_CN_H_H-L2_203_CHO_H_H-HCB_A-AA,2.198,0.1377270933
T3_303_NH2_SH_H_H-L2_205_CHO_H_H-HCB_A-AA,2.07,0.0747460875
T3_303_NH2_CHS_H_H-L2_210_CHO_H_H-HCB_A-AA,1.751,0.1462612203
T3_303_NH2_NO2_H_H-L2_207_CHO_H_H-HCB_A-AA,2.446,0.0859439916
T3_303_NH2_CHO_H_H-L2_213_CHO_H_H-HCB_A-AA,2.156,0.0983816907
T3_303_NH2_CHO_H_H-L2_206_CHO_H_H-HCB_A-AA,2.053,0.1579883036
T3_303_NH2_CH3_H_H-L2_207_CHO_H_H-HCB_A-AA,2.899,0.245381756
T3_303_NH2_CHS_H_H-L2_215_CHO_H_H-HCB_A-AA,1.624,0.1019400723
T3_303_NH2_NO_H_H-L2_204_CHO-HCB_A-AA,0.983,0.0776039725
T3_303_NH2_NO2_H_H-L2_208_CHO_H_H-HCB_A-AA,2.609,0.1454025236
T3_303_NH2_F_H_H-L2_207_CHO_H_H-HCB_A-AA,1.972,0.1446852691
T3_303_NH2_OMe_H_H-L2_210_CHO_H_H-HCB_A-AA,2.088,0.2347567202
T3_303_NH2_CHO_H_H-L2_202_CHO_H_H-HCB_A-AA,1.762,0.085966405
T3_303_NH2_F_H_H-L2_209_CHO_H_H-HCB_A-AA,2.395,0.1395613121
T3_303_NH2_EPO_H_H-L2_203_CHO_H_H-HCB_A-AA,2.989,0.390775618
T3_303_NH2_OMe_H_H-L2_207_CHO_H_H-HCB_A-AA,2.911,0.2052832761
T3_303_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,1.966,0.0816917892
T3_303_NH2_H_H_H-L2_212_CHO_H_H-HCB_A-AA,2.543,0.1704812095
T3_303_NH2_Br_H_H-L2_203_CHO_H_H-HCB_A-AA,2.328,0.1057615926
T3_303_NH2_OMe_H_H-L2_203_CHO_H_H-HCB_A-AA,2.828,0.1079253678
T3_303_NH2_Br_H_H-L2_217_CHO_H_H-HCB_A-AA,2.564,0.3032200288
T3_303_NH2_COOH_H_H-L2_211_CHO_H_H-HCB_A-AA,1.753,0.0651916871
T3_303_NH2_I_H_H-L2_205_CHO_H_H-HCB_A-AA,1.916,0.1748769838
T3_303_NH2_CN_H_H-L2_204_CHO-HCB_A-AA,0.974,0.1325085734
