cifname,Value2_303,Value1_Absolute
T3_303_NH2_Br_H_H-L2_201_CHO_H_H-HCB_A-AA,29.62455,2.237
T3_303_NH2_Br_H_H-L2_202_CHO_H_H-HCB_A-AA,22.80915,1.699
T3_303_NH2_Br_H_H-L2_203_CHO_H_H-HCB_A-AA,29.58964,2.492
T3_303_NH2_Br_H_H-L2_204_CHO-HCB_A-AA,16.21996,1.042
T3_303_NH2_Br_H_H-L2_205_CHO_H_H-HCB_A-AA,25.45503,2.099
T3_303_NH2_Br_H_H-L2_206_CHO_H_H-HCB_A-AA,25.80354,1.936
T3_303_NH2_Br_H_H-L2_207_CHO_H_H-HCB_A-AA,29.58964,2.261
T3_303_NH2_Br_H_H-L2_208_CHO_H_H-HCB_A-AA,29.58964,2.271
T3_303_NH2_Br_H_H-L2_209_CHO_H_H-HCB_A-AA,27.92707,2.66
T3_303_NH2_Br_H_H-L2_210_CHO_H_H-HCB_A-AA,22.42193,1.718
T3_303_NH2_Br_H_H-L2_211_CHO_H_H-HCB_A-AA,19.16605,1.75
T3_303_NH2_Br_H_H-L2_212_CHO_H_H-HCB_A-AA,27.97925,2.43
T3_303_NH2_Br_H_H-L2_213_CHO_H_H-HCB_A-AA,26.42579,2.029
T3_303_NH2_Br_H_H-L2_214_CHO_H_H-HCB_A-AA,22.42359,1.612
T3_303_NH2_Br_H_H-L2_215_CHO_H_H-HCB_A-AA,22.42193,1.553
T3_303_NH2_Br_H_H-L2_216_CHO_H_H-HCB_A-AA,22.42193,1.622
T3_303_NH2_Br_H_H-L2_217_CHO_H_H-HCB_A-AA,28.16151,2.795
T3_303_NH2_CH3_H_H-L2_201_CHO_H_H-HCB_A-AA,29.84009,3.211
T3_303_NH2_CH3_H_H-L2_202_CHO_H_H-HCB_A-AA,23.38099,2.328
T3_303_NH2_CH3_H_H-L2_203_CHO_H_H-HCB_A-AA,29.80542,3.424
T3_303_NH2_CH3_H_H-L2_204_CHO-HCB_A-AA,17.49176,1.456
T3_303_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,25.70283,2.88
T3_303_NH2_CH3_H_H-L2_206_CHO_H_H-HCB_A-AA,26.03729,2.753
T3_303_NH2_CH3_H_H-L2_207_CHO_H_H-HCB_A-AA,29.80542,3.115
T3_303_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,29.80542,3.35
T3_303_NH2_CH3_H_H-L2_209_CHO_H_H-HCB_A-AA,28.15467,3.709
T3_303_NH2_CH3_H_H-L2_210_CHO_H_H-HCB_A-AA,22.85645,2.223
T3_303_NH2_CH3_H_H-L2_211_CHO_H_H-HCB_A-AA,19.46747,2.427
T3_303_NH2_CH3_H_H-L2_212_CHO_H_H-HCB_A-AA,28.20647,3.398
T3_303_NH2_CH3_H_H-L2_213_CHO_H_H-HCB_A-AA,26.66525,2.875
T3_303_NH2_CH3_H_H-L2_214_CHO_H_H-HCB_A-AA,22.85651,2.15
T3_303_NH2_CH3_H_H-L2_215_CHO_H_H-HCB_A-AA,22.85649,2.115
T3_303_NH2_CH3_H_H-L2_216_CHO_H_H-HCB_A-AA,22.85645,2.227
