cifname,value1,value2
H6_HECO_NH2_H_H_H-L2_203_CHO_H_H-HXL_A-AA,3.641,0.237806166
H6_HECO_NH2_H_H_H-L2_213_CHO_H_H-HXL_A-AA,3.229,0.2211846702
H6_BENZ6_NH2-L2_212_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_216_CHO_H_H-HXL_A-AA,3.314,0.3181337179
H6_HECO_NH2_H_H_H-L2_211_CHO_H_H-HXL_A-AA,2.276,0.313559
H6_HEXB_NH2_H_H_H_H-L2_209_CHO_H_H-HXL_A-AA,4.948,0.1537237415
H6_BENZ6_NH2-L2_215_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_217_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-L2_213_CHO_H_H-HXL_A-AA,3.045,0.1035898165
H6_BENZ6_NH2-L2_209_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-L2_211_CHO_H_H-HXL_A-AA,3.173,0.1036455949
H6_HEXB_NH2_H_H_H_H-L2_203_CHO_H_H-HXL_A-AA,3.567,0.127182009
H6_HEXB_NH2_H_H_H_H-L2_205_CHO_H_H-HXL_A-AA,4.014,0.2694794047
H6_HEXB_NH2_H_H_H_H-L2_212_CHO_H_H-HXL_A-AA,4.478,0.2601380106
H6_BENZ6_NH2-L2_208_CHO_H_H-HXL_A-AA,0.132,0.0289822909
H6_BENZ6_NH2-L2_210_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_205_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_207_CHO_H_H-HXL_A-AA,2.956,0.3002510615
H6_HECO_NH2_H_H_H-L2_217_CHO_H_H-HXL_A-AA,5.63,0.4717566776
H6_HEXB_NH2_H_H_H_H-L2_204_CHO-HXL_A-AA,1.596,0.1095904891
H6_HECO_NH2_H_H_H-L2_214_CHO_H_H-HXL_A-AA,2.425,0.2157882492
H6_HEXB_NH2_H_H_H_H-L2_217_CHO_H_H-HXL_A-AA,4.482,0.3240496988
H6_BENZ6_NH2-L2_214_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_215_CHO_H_H-HXL_A-AA,2.629,0.136024
H6_HEXB_NH2_H_H_H_H-L2_206_CHO_H_H-HXL_A-AA,3.028,0.2394289942
H6_HEXB_NH2_H_H_H_H-L2_202_CHO_H_H-HXL_A-AA,2.72,0.2427611603
H6_HEXB_NH2_H_H_H_H-L2_216_CHO_H_H-HXL_A-AA,2.576,0.1144069051
H6_HEXB_NH2_H_H_H_H-L2_208_CHO_H_H-HXL_A-AA,3.58,0.5177816751
H6_HECO_NH2_H_H_H-L2_205_CHO_H_H-HXL_A-AA,4.777,0.2693435369
H6_HEXB_NH2_H_H_H_H-L2_210_CHO_H_H-HXL_A-AA,2.696,0.2027810522
H6_HECO_NH2_H_H_H-L2_201_CHO_H_H-HXL_A-AA,3.14,0.1234461949
H6_HECO_NH2_H_H_H-L2_204_CHO-HXL_A-AA,1.911,0.1256427536
H6_HECO_NH2_H_H_H-L2_210_CHO_H_H-HXL_A-AA,3.129,0.1429303067
H6_HECO_NH2_H_H_H-L2_208_CHO_H_H-HXL_A-AA,3.295,0.2510323769
H6_BENZ6_NH2-L2_202_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_211_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-L2_214_CHO_H_H-HXL_A-AA,2.422,0.2325303935
H6_HECO_NH2_H_H_H-L2_212_CHO_H_H-HXL_A-AA,5.328,0.478278296
H6_BENZ6_NH2-L2_207_CHO_H_H-HXL_A-AA,0.093,0.0373988094
H6_BENZ6_NH2-L2_204_CHO-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_202_CHO_H_H-HXL_A-AA,2.923,0.2177700785
H6_BENZ6_NH2-L2_216_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_203_CHO_H_H-HXL_A-AA,0.069,0.0285806693
H6_BENZ6_NH2-L2_201_CHO_H_H-HXL_A-AA,0.035,0.0175569656
H6_HEXB_NH2_H_H_H_H-L2_201_CHO_H_H-HXL_A-AA,3.18,0.3155983599
H6_BENZ6_NH2-L2_213_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_209_CHO_H_H-HXL_A-AA,6.461,0.6027245165
H6_BENZ6_NH2-L2_206_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_206_CHO_H_H-HXL_A-AA,3.314,0.3838616825
H6_HEXB_NH2_H_H_H_H-L2_207_CHO_H_H-HXL_A-AA,3.24,0.122898759
H6_HEXB_NH2_H_H_H_H-L2_215_CHO_H_H-HXL_A-AA,2.403,0.1885637719
