cifname,value1,value2
H6_HECO_NH2_H_H_H-L2_216_CHO_H_H-HXL_A-AA,2.765,0.1436429123
H6_HECO_NH2_H_H_H-L2_210_CHO_H_H-HXL_A-AA,2.697,0.3052527266
H6_HECO_NH2_H_H_H-L2_202_CHO_H_H-HXL_A-AA,2.306,0.2714737817
H6_BENZ6_NH2-L2_217_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-L2_201_CHO_H_H-HXL_A-AA,2.602,0.0832337205
H6_HEXB_NH2_H_H_H_H-L2_213_CHO_H_H-HXL_A-AA,2.574,0.1107272596
H6_HEXB_NH2_H_H_H_H-L2_212_CHO_H_H-HXL_A-AA,3.434,0.0977924558
H6_BENZ6_NH2-L2_208_CHO_H_H-HXL_A-AA,0.017,0.0112761653
H6_BENZ6_NH2-L2_206_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_209_CHO_H_H-HXL_A-AA,4.98,0.3302448423
H6_BENZ6_NH2-L2_205_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_214_CHO_H_H-HXL_A-AA,2.157,0.2475781168
H6_HEXB_NH2_H_H_H_H-L2_210_CHO_H_H-HXL_A-AA,2.156,0.1033477621
H6_HECO_NH2_H_H_H-L2_212_CHO_H_H-HXL_A-AA,3.488,0.5590832298
H6_BENZ6_NH2-L2_213_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_215_CHO_H_H-HXL_A-AA,2.245,0.3313804581
H6_BENZ6_NH2-L2_215_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_211_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_212_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_204_CHO-HXL_A-AA,1.61,0.1867878793
H6_HEXB_NH2_H_H_H_H-L2_208_CHO_H_H-HXL_A-AA,2.883,0.2222794355
H6_HECO_NH2_H_H_H-L2_213_CHO_H_H-HXL_A-AA,2.786,0.363656
H6_HECO_NH2_H_H_H-L2_201_CHO_H_H-HXL_A-AA,2.901,0.2096017876
H6_BENZ6_NH2-L2_202_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_214_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_210_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-L2_216_CHO_H_H-HXL_A-AA,2.046,0.1786372716
H6_HEXB_NH2_H_H_H_H-L2_209_CHO_H_H-HXL_A-AA,4.156,0.299801574
H6_HEXB_NH2_H_H_H_H-L2_211_CHO_H_H-HXL_A-AA,2.359,0.2501251484
H6_HEXB_NH2_H_H_H_H-L2_203_CHO_H_H-HXL_A-AA,2.986,0.1816849055
H6_HECO_NH2_H_H_H-L2_217_CHO_H_H-HXL_A-AA,4.491,0.5719739005
H6_HECO_NH2_H_H_H-L2_203_CHO_H_H-HXL_A-AA,3.584,0.2434901745
H6_HECO_NH2_H_H_H-L2_206_CHO_H_H-HXL_A-AA,2.704,0.2271151449
H6_HECO_NH2_H_H_H-L2_211_CHO_H_H-HXL_A-AA,1.505,0.1708424467
H6_HEXB_NH2_H_H_H_H-L2_215_CHO_H_H-HXL_A-AA,1.875,0.1059799581
H6_HEXB_NH2_H_H_H_H-L2_207_CHO_H_H-HXL_A-AA,2.833,0.2442091236
H6_HEXB_NH2_H_H_H_H-L2_217_CHO_H_H-HXL_A-AA,3.667,0.2107567282
H6_HECO_NH2_H_H_H-L2_208_CHO_H_H-HXL_A-AA,2.903,0.1889720074
H6_BENZ6_NH2-L2_203_CHO_H_H-HXL_A-AA,0.006,0.0080933612
H6_HEXB_NH2_H_H_H_H-L2_202_CHO_H_H-HXL_A-AA,2.204,0.1087079615
H6_BENZ6_NH2-L2_209_CHO_H_H-HXL_A-AA,0.0,0.0
H6_HECO_NH2_H_H_H-L2_205_CHO_H_H-HXL_A-AA,3.661,0.2842995374
H6_HEXB_NH2_H_H_H_H-L2_206_CHO_H_H-HXL_A-AA,2.495,0.1968319076
H6_BENZ6_NH2-L2_216_CHO_H_H-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_201_CHO_H_H-HXL_A-AA,0.003,0.005552
H6_HEXB_NH2_H_H_H_H-L2_205_CHO_H_H-HXL_A-AA,3.221,0.1488075829
H6_HEXB_NH2_H_H_H_H-L2_214_CHO_H_H-HXL_A-AA,1.948,0.1525285067
H6_HEXB_NH2_H_H_H_H-L2_204_CHO-HXL_A-AA,1.214,0.1007041589
H6_HECO_NH2_H_H_H-L2_207_CHO_H_H-HXL_A-AA,2.747,0.2469548073
H6_BENZ6_NH2-L2_204_CHO-HXL_A-AA,0.0,0.0
H6_BENZ6_NH2-L2_207_CHO_H_H-HXL_A-AA,0.011,0.0051934205
