cifname,Fraction,Surface,Volume,Diameter,O2absolute
H6_HECO_NH2_H_H_H-L2_216_CHO_H_H-HXL_A-AA,0.14924,1508.34,0.137353,6.10826,2.765
H6_HECO_NH2_H_H_H-L2_210_CHO_H_H-HXL_A-AA,0.1439,1513.78,0.13287,6.10826,2.697
H6_HECO_NH2_H_H_H-L2_202_CHO_H_H-HXL_A-AA,0.1465,1532.85,0.138235,6.38418,2.306
H6_BENZ6_NH2-L2_217_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,3.10759,0.0
H6_HEXB_NH2_H_H_H_H-L2_201_CHO_H_H-HXL_A-AA,0.30424,4497.51,0.472554,9.05462,2.602
H6_HEXB_NH2_H_H_H_H-L2_213_CHO_H_H-HXL_A-AA,0.26156,4727.98,0.415633,8.11086,2.574
H6_HEXB_NH2_H_H_H_H-L2_212_CHO_H_H-HXL_A-AA,0.22664,4891.76,0.338505,7.89812,3.434
H6_BENZ6_NH2-L2_208_CHO_H_H-HXL_A-AA,0.0101,423.908,0.00765258,3.69591,0.017
H6_BENZ6_NH2-L2_206_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.67486,0.0
H6_HECO_NH2_H_H_H-L2_209_CHO_H_H-HXL_A-AA,0.1493,1721.57,0.14225,6.46928,4.98
H6_BENZ6_NH2-L2_205_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.53203,0.0
H6_HECO_NH2_H_H_H-L2_214_CHO_H_H-HXL_A-AA,0.15236,1452.39,0.140224,6.64308,2.157
H6_HEXB_NH2_H_H_H_H-L2_210_CHO_H_H-HXL_A-AA,0.22498,4295.26,0.331779,7.30422,2.156
H6_HECO_NH2_H_H_H-L2_212_CHO_H_H-HXL_A-AA,0.13782,1682.24,0.128627,6.77792,3.488
H6_BENZ6_NH2-L2_213_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.94874,0.0
H6_HECO_NH2_H_H_H-L2_215_CHO_H_H-HXL_A-AA,0.152,1469.58,0.139893,6.64039,2.245
H6_BENZ6_NH2-L2_215_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.4462,0.0
H6_BENZ6_NH2-L2_211_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,1.7032,0.0
H6_BENZ6_NH2-L2_212_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.96761,0.0
H6_HECO_NH2_H_H_H-L2_204_CHO-HXL_A-AA,0.12494,1325.76,0.110814,6.04674,1.61
H6_HEXB_NH2_H_H_H_H-L2_208_CHO_H_H-HXL_A-AA,0.30432,5046.21,0.519683,9.11273,2.883
H6_HECO_NH2_H_H_H-L2_213_CHO_H_H-HXL_A-AA,0.17896,1667.09,0.177944,7.01321,2.786
H6_HECO_NH2_H_H_H-L2_201_CHO_H_H-HXL_A-AA,0.22598,1628.72,0.219409,8.0498,2.901
H6_BENZ6_NH2-L2_202_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.44273,0.0
H6_BENZ6_NH2-L2_214_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.43545,0.0
H6_BENZ6_NH2-L2_210_CHO_H_H-HXL_A-AA,0.0,0.0,0.0,2.24551,0.0
