cifname,value1,value2
H6_BENZ6_NH2-T3_306_CHO_H_H-KGD-AA,0.003,0.0033998918
H6_HEXB_NH2_H_H_H_H-T3_307_CHO_H_H_H-KGD-AA,6.192,0.3640848616
H6_BENZ6_NH2-T3_305_CHO-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_303_CHO_H_H_H-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_302_CHO_H_H_H-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_306_CHO_H_H-KGD-AA,4.268,0.2991325168
H6_HEXB_NH2_H_H_H_H-T3_302_CHO_H_H_H-KGD-AA,4.262,0.274655706
H6_HECO_NH2_H_H_H-T3_306_CHO_H_H-KGD-AA,4.91,0.4291142919
H6_HECO_NH2_H_H_H-T3_302_CHO_H_H_H-KGD-AA,9.097,0.6739679801
H6_HECO_NH2_H_H_H-T3_304_CHO-KGD-AA,8.793,0.4497976709
H6_HEXB_NH2_H_H_H_H-T3_310_CHO-KGD-AA,3.012,0.2271236274
H6_HEXB_NH2_H_H_H_H-T3_303_CHO_H_H_H-KGD-AA,3.712,0.3894471761
H6_HEXB_NH2_H_H_H_H-T3_305_CHO-KGD-AA,3.414,0.1706957863
H6_BENZ6_NH2-T3_309_CHO_H-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_308_CHO_H_H-KGD-AA,3.567,0.2123503917
H6_BENZ6_NH2-T3_304_CHO-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_309_CHO_H-KGD-AA,3.231,0.2269878691
H6_HECO_NH2_H_H_H-T3_311_CHO-KGD-AA,4.678,0.2218890679
H6_HECO_NH2_H_H_H-T3_303_CHO_H_H_H-KGD-AA,5.518,0.5207053835
H6_HECO_NH2_H_H_H-T3_301_CHO_H_H_H-KGD-AA,6.134,0.5648222084
H6_HECO_NH2_H_H_H-T3_307_CHO_H_H_H-KGD-AA,7.366,1.1041921672
H6_BENZ6_NH2-T3_301_CHO_H_H_H-KGD-AA,0.0,0.0
H6_HECO_NH2_H_H_H-T3_305_CHO-KGD-AA,5.889,0.4406632228
H6_HEXB_NH2_H_H_H_H-T3_304_CHO-KGD-AA,4.748,0.5782248741
H6_BENZ6_NH2-T3_307_CHO_H_H_H-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_308_CHO_H_H-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_310_CHO-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_301_CHO_H_H_H-KGD-AA,3.693,0.2849493348
H6_HECO_NH2_H_H_H-T3_309_CHO_H-KGD-AA,6.89,0.5357032707
H6_BENZ6_NH2-T3_311_CHO-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_311_CHO-KGD-AA,2.869,0.2125226989
H6_HECO_NH2_H_H_H-T3_310_CHO-KGD-AA,3.857,0.375597006
H6_HECO_NH2_H_H_H-T3_308_CHO_H_H-KGD-AA,6.808,0.4426958493
