cifname,value1,value2
H6_HEXB_NH2_H_H_H_H-T3_309_CHO_H-KGD-AA,2.938,0.3580017684
H6_BENZ6_NH2-T3_303_CHO_H_H_H-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_310_CHO-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_305_CHO-KGD-AA,0.0,0.0
H6_HECO_NH2_H_H_H-T3_306_CHO_H_H-KGD-AA,4.277,0.2094270773
H6_HEXB_NH2_H_H_H_H-T3_308_CHO_H_H-KGD-AA,2.841,0.1650144627
H6_BENZ6_NH2-T3_302_CHO_H_H_H-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_306_CHO_H_H-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_310_CHO-KGD-AA,2.331,0.1866537481
H6_HEXB_NH2_H_H_H_H-T3_303_CHO_H_H_H-KGD-AA,2.98,0.1191580013
H6_BENZ6_NH2-T3_311_CHO-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_301_CHO_H_H_H-KGD-AA,2.961,0.2981261158
H6_HECO_NH2_H_H_H-T3_307_CHO_H_H_H-KGD-AA,4.168,0.4247733571
H6_HEXB_NH2_H_H_H_H-T3_304_CHO-KGD-AA,3.786,0.3578349066
H6_HECO_NH2_H_H_H-T3_305_CHO-KGD-AA,4.689,0.3029339811
H6_HEXB_NH2_H_H_H_H-T3_306_CHO_H_H-KGD-AA,3.638,0.2042106056
H6_HECO_NH2_H_H_H-T3_308_CHO_H_H-KGD-AA,4.662,0.5017500012
H6_BENZ6_NH2-T3_309_CHO_H-KGD-AA,0.0,0.0
H6_BENZ6_NH2-T3_301_CHO_H_H_H-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_302_CHO_H_H_H-KGD-AA,3.389,0.2675421757
H6_HECO_NH2_H_H_H-T3_311_CHO-KGD-AA,4.148,0.250171358
H6_HECO_NH2_H_H_H-T3_310_CHO-KGD-AA,3.335,0.3833494181
H6_BENZ6_NH2-T3_307_CHO_H_H_H-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_307_CHO_H_H_H-KGD-AA,4.874,0.3136511483
H6_BENZ6_NH2-T3_304_CHO-KGD-AA,0.0,0.0
H6_HECO_NH2_H_H_H-T3_309_CHO_H-KGD-AA,4.639,0.6462984688
H6_HECO_NH2_H_H_H-T3_303_CHO_H_H_H-KGD-AA,4.657,0.3987354639
H6_HECO_NH2_H_H_H-T3_301_CHO_H_H_H-KGD-AA,4.626,0.5647880985
H6_BENZ6_NH2-T3_308_CHO_H_H-KGD-AA,0.0,0.0
H6_HEXB_NH2_H_H_H_H-T3_311_CHO-KGD-AA,2.594,0.1140696199
H6_HEXB_NH2_H_H_H_H-T3_305_CHO-KGD-AA,2.793,0.1635603558
H6_HECO_NH2_H_H_H-T3_304_CHO-KGD-AA,6.98,0.4015136385
H6_HECO_NH2_H_H_H-T3_302_CHO_H_H_H-KGD-AA,6.203,0.3481252316
