cifname,Fraction,Surface,Volume,Diameter,O2absolute
H6_HEXB_NH2_H_H_H_H-T3_307_CHO_H_H_H-KGD-AA,0.14078,4066.07,0.181018,5.54172,6.192
H6_HEXB_NH2_H_H_H_H-T3_306_CHO_H_H-KGD-AA,0.19574,4049.72,0.278292,6.51666,4.268
H6_HEXB_NH2_H_H_H_H-T3_302_CHO_H_H_H-KGD-AA,0.10544,2893.39,0.128009,5.92248,4.262
H6_HECO_NH2_H_H_H-T3_306_CHO_H_H-KGD-AA,0.15092,2181.53,0.176214,5.88932,4.91
H6_HECO_NH2_H_H_H-T3_302_CHO_H_H_H-KGD-AA,0.04792,830.498,0.0364712,4.54297,9.097
H6_HECO_NH2_H_H_H-T3_304_CHO-KGD-AA,0.06208,965.975,0.0475935,4.66115,8.793
H6_HEXB_NH2_H_H_H_H-T3_310_CHO-KGD-AA,0.1582,3933.11,0.204123,5.89456,3.012
H6_HEXB_NH2_H_H_H_H-T3_303_CHO_H_H_H-KGD-AA,0.17624,3725.73,0.222814,6.37098,3.712
H6_HEXB_NH2_H_H_H_H-T3_305_CHO-KGD-AA,0.1341,3319.23,0.162582,5.92248,3.414
H6_HEXB_NH2_H_H_H_H-T3_308_CHO_H_H-KGD-AA,0.11718,3237.61,0.141766,5.89665,3.567
H6_HEXB_NH2_H_H_H_H-T3_309_CHO_H-KGD-AA,0.1219,3259.9,0.147132,5.89665,3.231
H6_HECO_NH2_H_H_H-T3_311_CHO-KGD-AA,0.09832,1137.39,0.078741,5.2315,4.678
H6_HECO_NH2_H_H_H-T3_303_CHO_H_H_H-KGD-AA,0.09946,1148.86,0.0786617,5.10273,5.518
H6_HECO_NH2_H_H_H-T3_301_CHO_H_H_H-KGD-AA,0.04864,883.487,0.0376657,4.58344,6.134
H6_HECO_NH2_H_H_H-T3_307_CHO_H_H_H-KGD-AA,0.0588,1207.87,0.0473094,4.43631,7.366
H6_HECO_NH2_H_H_H-T3_305_CHO-KGD-AA,0.06212,942.605,0.0472134,4.66115,5.889
H6_HEXB_NH2_H_H_H_H-T3_304_CHO-KGD-AA,0.12604,2956.46,0.15412,5.92248,4.748
H6_HEXB_NH2_H_H_H_H-T3_301_CHO_H_H_H-KGD-AA,0.11896,3303.13,0.146923,5.96794,3.693
H6_HECO_NH2_H_H_H-T3_309_CHO_H-KGD-AA,0.05224,878.35,0.0395269,4.62489,6.89
H6_HEXB_NH2_H_H_H_H-T3_311_CHO-KGD-AA,0.17634,3735.73,0.225555,6.44937,2.869
H6_HECO_NH2_H_H_H-T3_310_CHO-KGD-AA,0.07448,1138.3,0.060182,4.63163,3.857
H6_HECO_NH2_H_H_H-T3_308_CHO_H_H-KGD-AA,0.04856,842.392,0.0368299,4.62489,6.808
