cifname,value1,value2
S4_PTCA_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,2.373,0.1105705577
S4_PTCA_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,3.783,0.2993578472
S4_TBPR_NH2_H-L2_206_CHO_H_H-SQL_A-AA,3.18,0.3842780212
S4_TBPR_NH2_H-L2_203_CHO_H_H-SQL_A-AA,3.664,0.1818968572
S4_PORP_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,2.677,0.1301023274
S4_PORP_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,1.901,0.1265594201
S4_401_NH2_H_H-L2_209_CHO_H_H-SQL_A-AA,5.758,0.4520407237
S4_PTCA_NH2_H_H_H_H-L2_211_CHO_H_H-SQL_A-AA,2.85,0.1153794568
S4_PORP_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,1.539,0.1491954737
S4_PORP_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,2.527,0.0870797174
S4_TBPR_NH2_H-L2_212_CHO_H_H-SQL_A-AA,3.787,0.2075791008
S4_PORP_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,2.744,0.1675057814
S4_TBPR_NH2_H-L2_214_CHO_H_H-SQL_A-AA,2.672,0.1525285067
S4_401_NH2_H_H-L2_207_CHO_H_H-SQL_A-AA,5.54,0.6784608743
S4_TBPR_NH2_H-L2_202_CHO_H_H-SQL_A-AA,2.789,0.1797660954
S4_PORP_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,1.933,0.1069390723
S4_401_NH2_H_H-L2_205_CHO_H_H-SQL_A-AA,5.1,0.4337583279
S4_PTCA_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,3.305,0.2375467823
S4_PTCA_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,2.377,0.0838103778
S4_401_NH2_H_H-L2_204_CHO-SQL_A-AA,3.634,0.5186998899
S4_TBPR_NH2_H-L2_215_CHO_H_H-SQL_A-AA,2.575,0.1138667692
S4_TBPR_NH2_H-L2_204_CHO-SQL_A-AA,1.95,0.1863748597
S4_PTCA_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,2.321,0.1611754302
S4_PORP_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,2.302,0.1369555854
S4_401_NH2_H_H-L2_202_CHO_H_H-SQL_A-AA,4.372,0.5138525221
S4_PORP_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,2.818,0.2269539169
S4_TBPR_NH2_H-L2_217_CHO_H_H-SQL_A-AA,4.222,0.3807676395
S4_PORP_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,1.705,0.2468533709
S4_401_NH2_H_H-L2_212_CHO_H_H-SQL_A-AA,5.791,0.5882140283
S4_401_NH2_H_H-L2_217_CHO_H_H-SQL_A-AA,6.006,0.3851143509
S4_401_NH2_H_H-L2_206_CHO_H_H-SQL_A-AA,5.105,0.5256654886
S4_PTCA_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,3.094,0.1347432768
S4_TBPR_NH2_H-L2_205_CHO_H_H-SQL_A-AA,3.328,0.223575738
S4_401_NH2_H_H-L2_214_CHO_H_H-SQL_A-AA,4.252,0.2157257446
S4_PTCA_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,2.253,0.2163499781
S4_TBPR_NH2_H-L2_207_CHO_H_H-SQL_A-AA,3.354,0.1997177182
S4_401_NH2_H_H-L2_216_CHO_H_H-SQL_A-AA,4.528,0.2797293533
S4_PTCA_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,3.265,0.2315090799
S4_PTCA_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,3.122,0.3055681291
S4_401_NH2_H_H-L2_203_CHO_H_H-SQL_A-AA,5.07,0.35050779
S4_PORP_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,2.248,0.0465756218
S4_PTCA_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,3.011,0.2598712631
S4_PORP_NH2_H_H_H_H-L2_202_CHO_H_H-SQL_A-AA,2.124,0.166929723
S4_TBPR_NH2_H-L2_213_CHO_H_H-SQL_A-AA,3.08,0.2250101694
S4_401_NH2_H_H-L2_211_CHO_H_H-SQL_A-AA,5.143,0.5855583617
S4_TBPR_NH2_H-L2_210_CHO_H_H-SQL_A-AA,2.633,0.3018253793
S4_PTCA_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,1.638,0.1568869853
S4_PTCA_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,3.093,0.2045876217
S4_TBPR_NH2_H-L2_216_CHO_H_H-SQL_A-AA,2.619,0.227750457
S4_PTCA_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,2.881,0.1973890216
S4_TBPR_NH2_H-L2_208_CHO_H_H-SQL_A-AA,3.391,0.2127944787
S4_TBPR_NH2_H-L2_211_CHO_H_H-SQL_A-AA,2.845,0.2089389553
S4_PTCA_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,2.75,0.2536282795
S4_PORP_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,3.076,0.0792984213
S4_TBPR_NH2_H-L2_201_CHO_H_H-SQL_A-AA,3.535,0.2687492038
S4_401_NH2_H_H-L2_213_CHO_H_H-SQL_A-AA,5.027,0.6048336416
S4_TBPR_NH2_H-L2_209_CHO_H_H-SQL_A-AA,4.048,0.3250884459
S4_PORP_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,2.211,0.1966066602
S4_PTCA_NH2_H_H_H_H-L2_202_CHO_H_H-SQL_A-AA,2.391,0.1417120131
S4_401_NH2_H_H-L2_215_CHO_H_H-SQL_A-AA,4.418,0.3703801993
S4_401_NH2_H_H-L2_210_CHO_H_H-SQL_A-AA,4.83,0.504800926
S4_401_NH2_H_H-L2_201_CHO_H_H-SQL_A-AA,5.381,0.4291457178
S4_PORP_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,2.318,0.0868581965
S4_PORP_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,1.795,0.2247960167
S4_PORP_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,2.356,0.1129664882
S4_401_NH2_H_H-L2_208_CHO_H_H-SQL_A-AA,5.593,0.4220433059
S4_PORP_NH2_H_H_H_H-L2_211_CHO_H_H-SQL_A-AA,2.256,0.1212733973
S4_PTCA_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,3.198,0.2957970965
