cifname,value1,value2
S4_401_NH2_H_H-L2_205_CHO_H_H-SQL_A-AA,4.617,0.3342054981
S4_PTCA_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,2.66,0.241328459
S4_401_NH2_H_H-L2_207_CHO_H_H-SQL_A-AA,4.538,0.4619475865
S4_TBPR_NH2_H-L2_207_CHO_H_H-SQL_A-AA,2.846,0.1170702098
S4_TBPR_NH2_H-L2_213_CHO_H_H-SQL_A-AA,3.052,0.1091677662
S4_PORP_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,2.324,0.1737163931
S4_TBPR_NH2_H-L2_204_CHO-SQL_A-AA,1.632,0.0927574552
S4_PTCA_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,2.918,0.161664764
S4_PTCA_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,2.674,0.2067793934
S4_401_NH2_H_H-L2_213_CHO_H_H-SQL_A-AA,4.389,0.3154884613
S4_PORP_NH2_H_H_H_H-L2_202_CHO_H_H-SQL_A-AA,2.112,0.1110920378
S4_PORP_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,1.842,0.1110920378
S4_TBPR_NH2_H-L2_217_CHO_H_H-SQL_A-AA,3.709,0.1937441181
S4_PORP_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,2.154,0.1169055308
S4_TBPR_NH2_H-L2_216_CHO_H_H-SQL_A-AA,2.374,0.1130517266
S4_PORP_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,1.483,0.1283130743
S4_PTCA_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,2.874,0.1983140671
S4_PTCA_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,3.402,0.1858883891
S4_PORP_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,2.455,0.2596710226
S4_TBPR_NH2_H-L2_214_CHO_H_H-SQL_A-AA,2.307,0.1590214342
S4_PTCA_NH2_H_H_H_H-L2_202_CHO_H_H-SQL_A-AA,2.285,0.1366316631
S4_PTCA_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,2.053,0.1469969983
S4_401_NH2_H_H-L2_215_CHO_H_H-SQL_A-AA,3.717,0.3411657695
S4_TBPR_NH2_H-L2_206_CHO_H_H-SQL_A-AA,2.746,0.1435355759
S4_PTCA_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,2.122,0.2086898504
S4_401_NH2_H_H-L2_212_CHO_H_H-SQL_A-AA,5.207,0.2176373378
S4_401_NH2_H_H-L2_216_CHO_H_H-SQL_A-AA,3.823,0.2966750566
S4_401_NH2_H_H-L2_214_CHO_H_H-SQL_A-AA,3.689,0.2139231782
S4_TBPR_NH2_H-L2_210_CHO_H_H-SQL_A-AA,2.451,0.0731042615
S4_401_NH2_H_H-L2_211_CHO_H_H-SQL_A-AA,4.284,0.2283418201
S4_PORP_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,2.063,0.1887169637
S4_PORP_NH2_H_H_H_H-L2_211_CHO_H_H-SQL_A-AA,1.788,0.0783451925
S4_PTCA_NH2_H_H_H_H-L2_211_CHO_H_H-SQL_A-AA,2.461,0.0688985081
S4_401_NH2_H_H-L2_203_CHO_H_H-SQL_A-AA,4.747,0.4943618772
S4_PTCA_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,3.238,0.2297800358
S4_401_NH2_H_H-L2_217_CHO_H_H-SQL_A-AA,5.231,0.3377834245
S4_TBPR_NH2_H-L2_202_CHO_H_H-SQL_A-AA,2.349,0.166640947
S4_TBPR_NH2_H-L2_205_CHO_H_H-SQL_A-AA,3.105,0.0870133204
S4_PORP_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,1.959,0.1920963919
S4_PORP_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,1.757,0.1526547616
S4_PTCA_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,2.682,0.1589002381
S4_TBPR_NH2_H-L2_209_CHO_H_H-SQL_A-AA,3.375,0.4444201738
S4_TBPR_NH2_H-L2_208_CHO_H_H-SQL_A-AA,2.896,0.1985567839
S4_401_NH2_H_H-L2_210_CHO_H_H-SQL_A-AA,3.887,0.2830158889
S4_PTCA_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,2.732,0.1654342288
S4_TBPR_NH2_H-L2_212_CHO_H_H-SQL_A-AA,3.654,0.2808908738
S4_PTCA_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,1.418,0.0312222879
S4_PORP_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,2.593,0.2513238381
S4_401_NH2_H_H-L2_209_CHO_H_H-SQL_A-AA,4.912,0.1864575368
S4_TBPR_NH2_H-L2_215_CHO_H_H-SQL_A-AA,2.374,0.2774056119
S4_PORP_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,2.265,0.232671198
S4_PTCA_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,2.259,0.1665831317
S4_PORP_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,1.744,0.1602764415
S4_PORP_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,2.145,0.124379051
S4_401_NH2_H_H-L2_206_CHO_H_H-SQL_A-AA,4.49,0.6470224194
S4_PTCA_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,2.952,0.2269114694
S4_401_NH2_H_H-L2_202_CHO_H_H-SQL_A-AA,3.886,0.2370759259
S4_401_NH2_H_H-L2_201_CHO_H_H-SQL_A-AA,4.756,0.3398304776
S4_TBPR_NH2_H-L2_201_CHO_H_H-SQL_A-AA,2.998,0.3990252566
S4_TBPR_NH2_H-L2_211_CHO_H_H-SQL_A-AA,2.615,0.2256087154
S4_401_NH2_H_H-L2_208_CHO_H_H-SQL_A-AA,4.543,0.398711305
S4_PORP_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,1.573,0.0709918242
S4_401_NH2_H_H-L2_204_CHO-SQL_A-AA,3.008,0.1557160325
S4_PTCA_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,2.255,0.1932761966
S4_PORP_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,2.577,0.1459447514
S4_PORP_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,2.267,0.1665368651
S4_TBPR_NH2_H-L2_203_CHO_H_H-SQL_A-AA,3.193,0.2695937665
S4_PTCA_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,2.437,0.1537237415
