cifname,Fraction,Surface,Volume,Diameter,O2absolute
S4_PTCA_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,0.42108,2065.31,0.619355,17.27083,2.373
S4_PTCA_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,0.46442,2246.1,0.765248,18.81279,3.783
S4_TBPR_NH2_H-L2_206_CHO_H_H-SQL_A-AA,0.4665,2004.08,0.677275,17.93415,3.18
S4_TBPR_NH2_H-L2_203_CHO_H_H-SQL_A-AA,0.50926,2189.89,0.842241,20.09078,3.664
S4_PORP_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,0.31752,1642.61,0.383986,12.30171,2.677
S4_PORP_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,0.25484,1452.49,0.272428,11.25041,1.901
S4_401_NH2_H_H-L2_209_CHO_H_H-SQL_A-AA,0.49144,2219.56,0.853311,19.66973,5.758
S4_PTCA_NH2_H_H_H_H-L2_211_CHO_H_H-SQL_A-AA,0.37534,1839.82,0.482254,16.29419,2.85
S4_PORP_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,0.13818,1259.97,0.132224,7.70709,1.539
S4_PORP_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,0.36102,1853.21,0.481511,14.18336,2.527
S4_TBPR_NH2_H-L2_212_CHO_H_H-SQL_A-AA,0.45992,2045.48,0.690679,18.50012,3.787
S4_PORP_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,0.36936,1589.03,0.445848,14.15884,2.744
S4_TBPR_NH2_H-L2_214_CHO_H_H-SQL_A-AA,0.4368,1964.26,0.615925,17.1407,2.672
S4_401_NH2_H_H-L2_207_CHO_H_H-SQL_A-AA,0.52226,2372.57,0.988667,21.41054,5.54
S4_TBPR_NH2_H-L2_202_CHO_H_H-SQL_A-AA,0.43638,2014.69,0.629053,16.54956,2.789
S4_PORP_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,0.24536,1449.22,0.263205,10.33644,1.933
S4_401_NH2_H_H-L2_205_CHO_H_H-SQL_A-AA,0.47912,2267.66,0.827976,18.91642,5.1
S4_PTCA_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,0.45438,2142.01,0.717944,18.48399,3.305
S4_PTCA_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,0.41698,2098.44,0.614893,16.29419,2.377
S4_401_NH2_H_H-L2_204_CHO-SQL_A-AA,0.4106,2246.04,0.635678,15.38552,3.634
S4_TBPR_NH2_H-L2_215_CHO_H_H-SQL_A-AA,0.43586,1956.68,0.614599,17.1407,2.575
S4_TBPR_NH2_H-L2_204_CHO-SQL_A-AA,0.38388,1979.99,0.494701,14.66737,1.95
S4_PTCA_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,0.42024,2068.93,0.618119,17.27083,2.321
S4_PORP_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,0.30304,1494.68,0.3357,12.07674,2.302
S4_401_NH2_H_H-L2_202_CHO_H_H-SQL_A-AA,0.46206,2232.63,0.777108,17.86097,4.372
S4_PORP_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,0.32674,1763.1,0.407878,12.84794,2.818
S4_TBPR_NH2_H-L2_217_CHO_H_H-SQL_A-AA,0.4804,2112.76,0.764904,18.68359,4.222
S4_PORP_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,0.24646,1488.58,0.263469,10.33644,1.705
S4_401_NH2_H_H-L2_212_CHO_H_H-SQL_A-AA,0.48466,2171.38,0.826701,19.80981,5.791
S4_401_NH2_H_H-L2_217_CHO_H_H-SQL_A-AA,0.50278,2313.71,0.911001,19.99312,6.006
S4_401_NH2_H_H-L2_206_CHO_H_H-SQL_A-AA,0.49094,2152.72,0.820234,19.24659,5.105
S4_PTCA_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,0.48814,2286.28,0.839903,20.22105,3.094
S4_TBPR_NH2_H-L2_205_CHO_H_H-SQL_A-AA,0.45292,2094.88,0.679707,17.62904,3.328
S4_401_NH2_H_H-L2_214_CHO_H_H-SQL_A-AA,0.4626,2195.53,0.761607,18.45651,4.252
S4_PTCA_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,0.4184,2119.11,0.615413,16.29419,2.253
S4_TBPR_NH2_H-L2_207_CHO_H_H-SQL_A-AA,0.50216,2208.7,0.833936,20.09078,3.354
S4_401_NH2_H_H-L2_216_CHO_H_H-SQL_A-AA,0.46104,2214.27,0.759038,17.47513,4.528
S4_PTCA_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,0.44422,2141.41,0.689392,18.6294,3.265
S4_PTCA_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,0.49364,2347.2,0.845775,20.22105,3.122
S4_401_NH2_H_H-L2_203_CHO_H_H-SQL_A-AA,0.52796,2353.59,0.995195,21.41054,5.07
S4_PORP_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,0.28,1618.82,0.324182,11.82028,2.248
S4_PTCA_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,0.46048,2143.81,0.741756,18.28979,3.011
S4_PORP_NH2_H_H_H_H-L2_202_CHO_H_H-SQL_A-AA,0.25562,1484.77,0.281624,10.71106,2.124
S4_TBPR_NH2_H-L2_213_CHO_H_H-SQL_A-AA,0.47158,2075.49,0.731566,18.16014,3.08
S4_401_NH2_H_H-L2_211_CHO_H_H-SQL_A-AA,0.41722,1977.47,0.599239,17.47513,5.143
S4_TBPR_NH2_H-L2_210_CHO_H_H-SQL_A-AA,0.43284,2018.8,0.611854,16.1649,2.633
S4_PTCA_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,0.35996,2166.55,0.488494,14.05529,1.638
S4_PTCA_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,0.4921,2073.01,0.789512,20.20208,3.093
S4_TBPR_NH2_H-L2_216_CHO_H_H-SQL_A-AA,0.43528,1992.88,0.613781,16.1649,2.619
S4_PTCA_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,0.43646,2179.51,0.680305,17.75597,2.881
S4_TBPR_NH2_H-L2_208_CHO_H_H-SQL_A-AA,0.50208,2236.62,0.840862,20.09078,3.391
