SMILES,Core,Arm,Target_PG,Point_Group,Geometry,Energy_kcal_mol,Source,Plane_RMSD,Plane_MaxDist,Package_Index,Molecule_ID,XYZ_RelPath,Num_Atoms,Num_Heavy_Atoms,Num_Bonds,Net_Formal_Charge,Num_Radical_Electrons,Split_IID,Split_Core_OOD,Legacy_Point_Group,Analyzer_PG,Actual_PG,PG_Exact_Match,PG_Compatible,Actual_Mean_RMS_Error,Actual_Max_RMS_Error,Actual_Max_Atom_Error,Target_Mean_RMS_Error,Target_Max_RMS_Error,Target_Max_Atom_Error,Contains_Sn,UAE_GEOM_Pretrained_Compatible,Core_OOD_Support
O=Cc1ccc(-c2ccc(-c3ccc(/N=N/c4ccc(-c5ccc(-c6ccc(C=O)cc6)cc5)cc4)cc3)cc2)cc1,azobenzene_C2,CHO_phph,C2,D2,nonplanar,158.9620089849289,original_augmented,0.9831967392369504,2.3142703845449817,0,cof_000000,cof_symmetry_pipeline/output/xyz/aug_000006.xyz,68,42,73,0,0,train,test,D2,D2,C2,True,True,0.05017116561088685,0.1003423312217737,0.20003411022873904,0.05017116561088685,0.1003423312217737,0.20003411022873904,False,True,standard
NC(=O)c1ccc(/N=N/c2ccc(C(N)=O)cc2)cc1,azobenzene_C2,CONH2_direct,C2,D2,nonplanar,15.322607064826537,original_augmented,0.7761576233278263,1.3588530430882892,1,cof_000001,cof_symmetry_pipeline/output/xyz/mol_000033.xyz,32,20,33,0,0,train,test,D2,C2,C2,True,True,0.0033946405639674274,0.006789281127934855,0.013374066352709109,0.0033946405639674274,0.006789281127934855,0.013374066352709109,False,True,standard
[N-]=[N+]=Nc1ccc(-c2ccc(/N=N/c3ccc(-c4ccc(N=[N+]=[N-])cc4)cc3)cc2)cc1,azobenzene_C2,N3_ph,C2,D2,nonplanar,69.26263214192974,original_augmented,0.8764599384621601,2.109251344205168,2,cof_000002,cof_symmetry_pipeline/output/xyz/mol_000895.xyz,48,32,51,0,0,test,test,D2,D2,C2,True,True,0.039180191532408766,0.07836038306481753,0.1455260748951737,0.039180191532408766,0.07836038306481753,0.1455260748951737,False,True,standard
Sc1ccc(/N=N/c2ccc(S)cc2)cc1,azobenzene_C2,SH_direct,C2,C2,nonplanar,31.104968534848,original_augmented,0.7143060082310025,1.3563327528167173,3,cof_000003,cof_symmetry_pipeline/output/xyz/mol_000498.xyz,26,16,27,0,0,train,test,C2,C2,C2,True,True,2.869029820773726e-05,5.738059641547452e-05,0.00016125927181532388,2.869029820773726e-05,5.738059641547452e-05,0.00016125927181532388,False,True,standard
O=Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C=O)cc6)cc5)cc4)cc3)cc2)cc1,biphenyl_C2,CHO_phph,C2,D2,nonplanar,158.57793637200206,original_augmented,0.9831898170741772,1.9745333227912736,4,cof_000004,cof_symmetry_pipeline/output/xyz/mol_001770_s0883.xyz,66,40,71,0,0,test,test,D2,D2,C2,True,True,0.06403632409563471,0.12807264819126943,0.2286373569330835,0.06403632409563471,0.12807264819126943,0.2286373569330835,False,True,standard
Nc1ccc(OC(=O)c2ccc(-c3ccc(C(=O)Oc4ccc(N)cc4)cc3)cc2)cc1,biphenyl_ester_C2,NH2_ph,C2,D2,nonplanar,113.3734529910176,original_augmented,0.978274860009464,2.367894632864468,5,cof_000005,cof_symmetry_pipeline/output/xyz/mol_000214.xyz,52,32,55,0,0,train,val,D2,D2,C2,True,True,0.0433924728642037,0.0867849457284074,0.15803067641510973,0.0433924728642037,0.0867849457284074,0.15803067641510973,False,True,standard
O=C(OP(=O)(O)O)c1ccc(-c2ccc(C(=O)OP(=O)(O)O)cc2)cc1,biphenyl_ester_C2,PO3H2_direct,C2,C2,nonplanar,-331.11815080206,original_augmented,0.7954918782550385,1.3456517779442625,6,cof_000006,cof_symmetry_pipeline/output/xyz/mol_000746.xyz,38,26,39,0,0,train,val,C2,C2,C2,True,True,2.443756355818155e-05,4.88751271163631e-05,0.00010121200655169116,2.443756355818155e-05,4.88751271163631e-05,0.00010121200655169116,False,True,standard
C#Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C#C)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,CCH_phph,C2,D2,nonplanar,157.78663638540607,original_augmented,0.6873721124546799,1.7059791918297136,7,cof_000007,cof_symmetry_pipeline/output/xyz/mol_003142_s1009.xyz,64,40,69,0,0,test,val,D2,D2,C2,True,True,0.0010759922341147714,0.002151984468229543,0.003969170782834625,0.0010759922341147714,0.002151984468229543,0.003969170782834625,False,True,standard
FC(F)(F)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(F)(F)F)cc4)cn3)nc2)cc1,bipyridine_C2,CF3_ph,C2,D2,nonplanar,167.94023186672547,original_augmented,0.8714484047815113,1.7024282308585588,8,cof_000008,cof_symmetry_pipeline/output/xyz/mol_000308.xyz,46,32,49,0,0,train,val,D2,D2,C2,True,True,1.8313109518229706e-05,3.662621903645941e-05,6.694043497277897e-05,1.8313109518229706e-05,3.662621903645941e-05,6.694043497277897e-05,False,True,standard
O=C(O)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C(=O)O)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,COOH_phph,C2,D2,nonplanar,148.88034241152866,original_augmented,0.9742448803493684,2.258173835218611,9,cof_000009,cof_symmetry_pipeline/output/xyz/aug_000048.xyz,66,42,71,0,0,train,val,D2,D2,C2,True,True,0.00460861442140312,0.00921722884280624,0.018474583315061528,0.00460861442140312,0.00921722884280624,0.018474583315061528,False,True,standard
