package_index,molecule_id,source_group,smiles,target_pg,atom_count,heavy_atom_count,explicit_h_count,seed,minimum_pair_distance_angstrom,maximum_operation_error_angstrom,final_xyz,final_xyz_sha256
0,mol_001_C3k2,C3k2,N=C1C(=N)C1=N,C3,9,6,3,2026082901,1.0434935501989948,1.6011864169946884e-15,C3k2/xyz/mol_001_C3k2.xyz,701f64d789bb777ac1d300d3bb31634474cc963ed46932fe2b77e2215a4858ea
1,mol_002_C3k2,C3k2,CC1C(C)C1C,C3,18,6,12,2026082902,1.1055693450459663,1.6011864169946884e-15,C3k2/xyz/mol_002_C3k2.xyz,3d32ce778f81aeb8c2c7bb4b904f00d14ab5e4915f671068223c784e179134c9
2,mol_003_C3k2,C3k2,c1ccccc1,C3,12,6,6,2026082903,1.082339064248184,1.6011864169946884e-15,C3k2/xyz/mol_003_C3k2.xyz,fc14ca86bb09b62c672e2264c1a8d5cd4beaeec04c1c1c71234f80c85ec58d56
3,mol_004_C3k2,C3k2,c1ncncn1,C3,9,6,3,2026082904,1.0813353977807911,1.5100665727558131e-15,C3k2/xyz/mol_004_C3k2.xyz,b3d0c724bb111bf4cdb5f9ec2ddfa1b5f57f0adbafa01bd2de6918af239e920d
4,mol_005_C3k2,C3k2,C12C3C1C1C2C31,C3,12,6,6,2026082905,1.1100628430515238,9.694605782913356e-16,C3k2/xyz/mol_005_C3k2.xyz,24d91e1b8cff6223278d07f90d663bb8acf6510fa7b9dbefc1836385b3859092
5,mol_006_C3k2,C3k2,OC1C(O)C1O,C3,12,6,6,2026082906,0.9913022860334305,1.4043333874306805e-15,C3k2/xyz/mol_006_C3k2.xyz,b6231bd88b79a3266c4a47bf3580218c2d5760a19086242aeac8a64cf42c3b18
6,mol_007_C3k2,C3k2,C1CCCCC1,C3,18,6,12,2026082907,1.111226423555752,1.6011864169946884e-15,C3k2/xyz/mol_007_C3k2.xyz,6077141c06c243f3686831c8a352844e6436e97c99dae73fba09dacdeab03dea
7,mol_008_C3k2,C3k2,C12C3C4C1C3C24,C3,12,6,6,2026082908,1.0642104267785888,1.1866928732135989e-15,C3k2/xyz/mol_008_C3k2.xyz,a4f130c844e79438aef0f3e27367153cdbfa03729cf6087c222471432612e9e9
8,mol_009_C3k2,C3k2,C=C1C(=C)C1=C,C3,12,6,6,2026082909,1.0814389702217369,1.8279648628105605e-15,C3k2/xyz/mol_009_C3k2.xyz,a656a8600bc67951e4f87434e88bde478629c27c28f3e9e5aebc5fcd1c75145d
9,mol_010_C3k2,C3k2,C1OCOCO1,C3,12,6,6,2026082910,1.1093617580608737,1.2560739669470201e-15,C3k2/xyz/mol_010_C3k2.xyz,cef4762864083ea422e2be77fd4cdf9bad2cc7cb8fb2cc2bae77d690b36be1db
10,mol_011_C3k2,C3k2,C1C23CC24CC134,C3,12,6,6,2026082911,1.1091700485903544,1.7235296186091125e-15,C3k2/xyz/mol_011_C3k2.xyz,36bb1941ddc191a79e0bc14f85a37570460925fbb536c41bd9066bb393269d2e
11,mol_012_C3k2,C3k2,c12c3c4c1c3c24,C3,6,6,0,2026082912,1.023636100365967,5.551115123125783e-16,C3k2/xyz/mol_012_C3k2.xyz,0fab8c95c54483ff0e44d282e8d468398dd42fa6a80eeaaf7f753be82585ce13
12,mol_013_C3k2,C3k2,On1n(O)n1O,C3,9,6,3,2026082913,1.0121364224060276,1.5100665727558131e-15,C3k2/xyz/mol_013_C3k2.xyz,2e49039bae99beda30184c77f37a533e27d3121d202d728f621575f921fca753
13,mol_014_C3k2,C3k2,Cn1n(C)n1C,C3,15,6,9,2026082914,1.109363507384369,1.616509124176106e-15,C3k2/xyz/mol_014_C3k2.xyz,46dc1070ea19f45049cc5998f3c152c598022bb78f2e0857f4801557dd9e4c00
