package_index,molecule_id,requested_target_pg,analyzer_pg,actual_pg,pg_exact_match,pg_compatible,minimum_pair_distance_angstrom,maximum_operation_error_angstrom,passed
0,mol_001_C3k2,C3,C3h,C3h,False,True,1.0434935501989948,1.6011864169946884e-15,True
1,mol_002_C3k2,C3,C3,C3,True,True,1.1055693450459663,1.6011864169946884e-15,True
2,mol_003_C3k2,C3,D6h,D6h,False,True,1.082339064248184,1.6011864169946884e-15,True
3,mol_004_C3k2,C3,D3h,D3h,False,True,1.0813353977807911,1.5100665727558131e-15,True
4,mol_005_C3k2,C3,D3,D3,False,True,1.1100628430515238,9.694605782913356e-16,True
5,mol_006_C3k2,C3,C3,C3,True,True,0.9913022860334305,1.4043333874306805e-15,True
6,mol_007_C3k2,C3,D3d,D3d,False,True,1.111226423555752,1.6011864169946884e-15,True
7,mol_008_C3k2,C3,D3d,D3d,False,True,1.0642104267785888,1.1866928732135989e-15,True
8,mol_009_C3k2,C3,D3h,D3h,False,True,1.0814389702217369,1.8279648628105605e-15,True
9,mol_010_C3k2,C3,C3v,C3v,False,True,1.1093617580608737,1.2560739669470201e-15,True
10,mol_011_C3k2,C3,C3v,C3v,False,True,1.1091700485903544,1.7235296186091125e-15,True
11,mol_012_C3k2,C3,D3d,D3d,False,True,1.023636100365967,5.551115123125783e-16,True
12,mol_013_C3k2,C3,C3h,C3h,False,True,1.0121364224060276,1.5100665727558131e-15,True
13,mol_014_C3k2,C3,C3v,C3v,False,True,1.109363507384369,1.616509124176106e-15,True
14,mol_015_C3k2,C3,C3v,C3v,False,True,1.0468482524067015,1.4217791915866692e-15,True
15,mol_016_C3k2,C3,D3h,D3h,False,True,1.2579103680492114,1.27675647831893e-15,True
16,mol_017_C3k2,C3,C3v,C3v,False,True,1.0450396643715538,1.3517848686956847e-15,True
17,mol_018_C3k2,C3,D3h,D3h,False,True,1.0434261769621018,1.6011864169946884e-15,True
18,mol_019_C3k2,C3,C3,C3,True,True,0.9023811245260345,7.108895957933346e-16,True
19,mol_020_C3k2,C3,C3v,C3v,False,True,1.044565938420157,1.1957467920563633e-15,True
20,mol_021_C3k2,C3,C3v,C3v,False,True,1.0712541452403166,1.0235750533041806e-15,True
21,mol_022_C3k2,C3,C3v,C3v,False,True,1.4092278494140364,8.005932084973442e-16,True
22,mol_023_C3k2,C3,D3,D3,False,True,1.0942547182999147,3.775166431889533e-16,True
23,mol_024_C3k2,C3,Oh,Oh,False,True,1.5139999519529057,5.377642775528102e-16,True
24,mol_001_C3k3,C3,C3v,C3v,False,True,1.1109006430100232,2.1868857395626282e-15,True
25,mol_002_C3k3,C3,C3,C3,True,True,0.8476516924372384,1.790180836524724e-15,True
26,mol_003_C3k3,C3,D3h,D3h,False,True,1.0444519051689982,2.1868857395626282e-15,True
27,mol_004_C3k3,C3,C3v,C3v,False,True,1.086585775537324,1.7342238036525468e-15,True
28,mol_005_C3k3,C3,D3,D3,False,True,1.1169373039839954,1.6699540590904642e-15,True
29,mol_006_C3k3,C3,C3,C3,True,True,1.1092716462392567,2.0471501066083613e-15,True
30,mol_007_C3k3,C3,C3,C3,True,True,1.11166722671062,2.0471501066083613e-15,True
31,mol_008_C3k3,C3,C3v,C3v,False,True,1.0867091618895999,1.616509124176106e-15,True
32,mol_009_C3k3,C3,D3h,D3h,False,True,1.1246419551316686,1.4217791915866692e-15,True
33,mol_010_C3k3,C3,C3,C3,True,True,0.9928973101469337,2.0471501066083613e-15,True
34,mol_011_C3k3,C3,D3,D3,False,True,1.1067902031951231,2.085919684541963e-15,True
35,mol_012_C3k3,C3,C3v,C3v,False,True,1.085834581410742,2.1868857395626282e-15,True
36,mol_013_C3k3,C3,T,D3,False,True,1.1040084523098503,1.6946818973100072e-15,True
37,mol_014_C3k3,C3,C3v,C3v,False,True,1.0838248628166318,2.0539125955565396e-15,True
38,mol_015_C3k3,C3,T,C3,True,True,0.9918627569774799,1.5700924586837751e-15,True
39,mol_016_C3k3,C3,C3,C3,True,True,1.1053709885343346,2.220446049250313e-15,True
40,mol_017_C3k3,C3,C3v,C3v,False,True,1.0606213864130731,1.4217791915866692e-15,True
41,mol_018_C3k3,C3,C3v,C3v,False,True,1.109928989701324,1.616509124176106e-15,True
42,mol_019_C3k3,C3,C3v,C3v,False,True,1.0835043183266404,9.155133597044475e-16,True
43,mol_020_C3k3,C3,C3v,C3v,False,True,1.0462003531578732,2.220446049250313e-15,True
44,mol_021_C3k3,C3,C3,C3,True,True,1.0471861066718062,1.7763568394002505e-15,True
45,mol_022_C3k3,C3,C3h,C3h,False,True,1.0822361266662501,2.3314683517128287e-15,True
46,mol_023_C3k3,C3,C3v,C3v,False,True,1.2481682247494557,8.95090418262362e-16,True
47,mol_024_C3k3,C3,C3,C3,True,True,1.11068495632458,1.7235296186091125e-15,True
48,mol_025_C3k3,C3,D3,D3,False,True,1.1529467892271439,1.6011864169946884e-15,True
49,mol_026_C3k3,C3,C3v,C3v,False,True,1.0953496136588252,1.790180836524724e-15,True
50,mol_027_C3k3,C3,C3,C3,True,True,0.9793095102874981,1.6011864169946884e-15,True
51,mol_028_C3k3,C3,C3,C3,True,True,1.144798292720543,1.4217791915866692e-15,True
52,mol_029_C3k3,C3,C3v,C3v,False,True,1.1108050767471802,2.0471501066083613e-15,True
53,mol_030_C3k3,C3,C3,C3,True,True,1.0847006795531062,1.9567680809018384e-15,True
54,mol_031_C3k3,C3,D3h,D3h,False,True,1.082421398527943,2.1868857395626282e-15,True
55,mol_032_C3k3,C3,C3v,C3v,False,True,1.1112730008856735,2.220446049250313e-15,True
