package_index,molecule_id,source_group,smiles,actual_pg,chemical_graph_pass,pipeline_geometry_pass,bond_geometry_pass,uff_stability_pass,strict_screen_pass,atom_count,minimum_pair_distance_angstrom,minimum_nonbonded_distance_angstrom,minimum_bond_covalent_radius_ratio,maximum_bond_covalent_radius_ratio,centroid_norm_angstrom,uff_status,uff_initial_energy_kcal_mol,uff_final_energy_kcal_mol,uff_relaxation_kabsch_rmsd_angstrom
0,mol_001_C3k2,C3k2,N=C1C(=N)C1=N,C3h,True,True,True,True,True,9,1.0434935501989948,2.025630136245556,0.8778362430558888,1.023032892351956,5.516742562771718e-17,converged,-0.6765968793688637,-0.6765968793688637,1.6263283156521023e-16
1,mol_002_C3k2,C3k2,CC1C(C)C1C,C3,True,True,True,True,True,18,1.1055693450459663,1.7832189872896969,1.010907090244231,1.0383131129939451,6.043288691157859e-17,converged,290.0071168526005,290.00711679063863,3.961980225143641e-06
2,mol_003_C3k2,C3k2,c1ccccc1,D6h,True,True,True,True,True,12,1.082339064248184,2.1547657367411013,0.9204227960134934,1.0115319060291756,7.401486830834377e-17,converged,10.544731801425314,10.544731801320882,2.72942459783222e-07
3,mol_004_C3k2,C3k2,c1ncncn1,D3h,True,True,True,True,True,9,1.0813353977807911,2.1161253920225893,0.9231095009402984,1.010593829701674,1.4705433112053825e-24,converged,8.98599018450908,8.98599018450908,2.6037037858103365e-16
4,mol_005_C3k2,C3k2,C12C3C1C1C2C31,D3,True,True,True,True,True,12,1.1100628430515238,2.085568804232295,0.9961166625564347,1.037444335080257,1.850371707708594e-17,converged,777.5751772790659,777.5751772701993,1.5218012052765942e-06
5,mol_006_C3k2,C3k2,OC1C(O)C1O,C3,True,True,True,True,True,12,0.9913022860334305,1.9153289385643653,0.9860213092229227,1.038597974703482,9.435081445006127e-17,converged,278.7501313214396,278.75013132103686,8.075293039636083e-07
6,mol_007_C3k2,C3k2,C1CCCCC1,D3d,True,True,True,True,True,18,1.111226423555752,1.7982854336167315,1.0091905048161065,1.0395506355841793,8.635067969306773e-17,converged,6.517950145561419,6.517950144784234,3.000811445684422e-07
7,mol_008_C3k2,C3k2,C12C3C4C1C3C24,D3d,True,True,True,True,True,12,1.0642104267785888,1.6619214307449297,0.7001384386701242,1.3261798886960403,2.7755575615628914e-17,converged,1857.8029777428976,1857.8029777395534,3.522965168176849e-06
8,mol_009_C3k2,C3k2,C=C1C(=C)C1=C,D3h,True,True,True,True,True,12,1.0814389702217369,1.8729623431863371,0.8707013592797139,1.0106906487774305,1.5258555995074125e-16,converged,-1.4252092933429406,-1.4252092933429406,3.3170746862226767e-16
9,mol_010_C3k2,C3k2,C1OCOCO1,C3v,True,True,True,True,True,12,1.1093617580608737,1.7836043913241302,0.9935610868867558,1.0430137540935573,4.364092944453559e-17,converged,14.507617546914425,14.507617546388687,3.318866285700629e-07
10,mol_011_C3k2,C3k2,C1C23CC24CC134,C3v,True,True,True,True,True,12,1.1091700485903544,1.93236768151318,1.0004521702119615,1.0396380926852784,1.0312813940597592e-16,converged,1032.9319841645704,1032.9319841599442,7.161135885828417e-07
11,mol_012_C3k2,C3k2,c12c3c4c1c3c24,D3d,True,True,True,True,True,6,1.023636100365967,1.4644393951157106,0.6734448028723468,1.1754820558786552,4.5324665183683945e-17,converged,1666.9084326205818,1666.9084326205802,1.305314873377032e-07
12,mol_013_C3k2,C3k2,On1n(O)n1O,C3h,True,True,True,True,True,9,1.0121364224060276,2.074743444461664,0.9313412983170529,1.0434396107278636,6.978188705261223e-17,converged,-0.5702766468334012,-0.5702766468334012,1.9279638981753172e-16
13,mol_014_C3k2,C3k2,Cn1n(C)n1C,C3v,True,True,True,True,True,15,1.109363507384369,1.8116532830926553,0.9313344149969487,1.0368591238867901,6.10342239802965e-17,converged,0.8572665456746056,0.8572665456746056,8.121146211842775e-16
14,mol_015_C3k2,C3k2,C1NCNCN1,C3v,True,True,True,True,True,15,1.0468482524067015,1.7980782607459624,0.9975382501598379,1.042831163042125,7.25194642938943e-17,converged,10.719778570606184,10.719778569022557,1.0997274051393723e-06
15,mol_016_C3k2,C3k2,O=C1C(=O)C1=O,D3h,True,True,True,True,True,6,1.2579103680492116,2.623839022652134,0.885852371865642,0.9591833872633211,6.206335383118183e-17,converged,-0.1724004872845291,-0.1724004872845291,7.166458808248763e-17
16,mol_017_C3k2,C3k2,NC1C(N)C1N,C3v,True,True,True,True,True,15,1.0450396643715538,1.676256597684844,0.9928992959982551,1.0384742496897408,6.463070521942239e-17,converged,280.75958032085515,280.75958031318964,1.2698732572939242e-06
17,mol_018_C3k2,C3k2,Nn1n(N)n1N,D3h,True,True,True,True,True,12,1.0434261769621018,1.8072509209627636,0.9313194062219471,1.0229668507451635,5.233641528947107e-17,converged,-1.1192761999918257,-1.1192761999918257,3.2811504673094e-16
18,mol_019_C3k2,C3k2,C12C3C1n1n2n13,C3,True,True,False,True,False,9,0.9023811245260345,1.4698809493250948,0.5936717924513385,1.0742876964793786,2.4671622769447922e-17,converged,1400.3029438259841,1400.3029438259841,1.5884275155896495e-16
19,mol_020_C3k2,C3k2,N1ONONO1,C3v,True,True,True,True,True,9,1.044565938420157,1.939890834040799,0.9939744655105492,1.0240842533530956,1.2335811384723961e-17,converged,7.594949408985351,7.594949408985351,2.650641324893404e-16
20,mol_021_C3k2,C3k2,C12N3C4N1C3N24,C3v,True,True,True,True,True,9,1.0712541452403166,1.3407117296181021,0.7287443164900113,1.292445466563672,3.3215188668232315e-17,converged,2569.596579687484,2569.596579685833,3.010365250889337e-07
21,mol_022_C3k2,C3k2,O1C23OC24OC134,C3v,True,True,True,True,True,6,1.4092278494140364,2.3127621922047688,0.9661083761489867,0.992413982184864,2.6168207644729584e-17,converged,1224.411902459928,1224.411902459928,3.6563866996377808e-16
22,mol_023_C3k2,C3k2,c12c3c1c1c2c31,D3,True,True,True,True,True,6,1.0942547182999147,1.2851967544665048,0.7199044199341544,1.1434942508370365,0.0,converged,752.6488600533418,752.6488600529322,9.023829278335697e-08
23,mol_024_C3k2,C3k2,C123C45C16C21C34C561,Oh,True,True,True,True,True,6,1.5139999519529057,2.14111932463798,0.9960525999690168,0.9960526557260463,3.814638998768531e-17,converged,2179.3796579591854,2179.3796579591854,3.0573158156722025e-16
24,mol_001_C3k3,C3k3,CC1CC(C)CC(C)C1,C3v,True,True,True,True,True,27,1.1109006430100232,1.7990148203212644,1.0082961545588278,1.0406011727699556,4.028859127438573e-17,converged,10.50238643475931,10.502386432447018,7.570726115672518e-07
25,mol_002_C3k3,C3k3,C1=C2C3C=C4C1C3=CC24,C3,True,True,False,True,False,15,0.8476516924372384,0.8476516924372384,0.8240716994854406,1.4340905196386866,6.574843539039673e-17,converged,863.9365518040765,863.9365516860707,3.6648341325893738e-06
26,mol_003_C3k3,C3k3,Nc1cc(N)cc(N)c1,D3h,True,True,True,True,True,18,1.0444519051689982,1.794266928920797,0.9223748937714858,1.0239726020633135,5.0861853319090623e-17,converged,13.444843353960827,13.444843353043328,2.952806349967137e-07
27,mol_004_C3k3,C3k3,C1=CCC=CCC=CC1,C3v,True,True,True,True,True,21,1.086585775537324,1.758294676498569,0.8845539527923614,1.0381001144571105,8.798949387668415e-17,converged,19.961869259938403,19.96186925786397,6.41909763186013e-07
28,mol_005_C3k3,C3k3,C1C2C3CC4C1C3CC24,D3,True,True,True,True,True,21,1.1169373039839954,1.3901395172467061,0.7981832826018134,1.3123093060764368,1.8313930346510132e-17,converged,1540.3038683251639,1540.3038678421165,2.9893853726741857e-06
29,mol_006_C3k3,C3k3,COC1C(OC)C1OC,C3,True,True,True,True,True,21,1.1092716462392567,1.7941237247758355,0.9908892508967915,1.0407156749694662,6.344131569286608e-17,converged,287.2467406699746,287.2467405346438,1.0926105028033666e-06
